=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:54:01 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2326429;10531040
2326455;10531220
2326481;10531271
2326508;10531343
2326534;10531122
2326560;10531193
2326586;10531170
2326613;10531235
2326639;10531301
2326665;10531311
2326691;10531205
2326718;10531368
2326744;10530979
2326770;10531444
2326796;10531250
2326822;10531045
2326848;10531629
2326875;10531328
2326901;10531143
2326927;10531255
2326954;10531223
2326979;10531248
2327006;10531617
2327032;10531845
2327058;10531552
2327084;10531572
2327111;10531409
2327136;10531522
2327163;10531657
2327190;10531850
2327215;10531840
2327242;10531762
2327268;10531388
2327294;10531341
2327321;10531527
2327346;10531444
2327373;10531454
2327399;10531082
2327425;10531444
2327452;10531491
2327477;10531353
2327504;10531358
2327530;10530844
2327556;10531429
2327583;10531173
2327609;10531097
2327635;10531173
2327661;10531155
2327687;10531035
2327714;10530861
2327740;10531730
2327766;10531248
2327792;10531205
2327818;10531276
2327845;10531137
2327871;10531742
2327897;10531193
2327924;10531522
2327949;10531830
2327976;10531346
2328002;10531316
2328028;10531491
2328054;10531752
2328080;10531265
2328107;10531644
2328133;10531356
2328159;10531331
2328185;10531670
2328212;10531670
2328238;10531594
2328264;10531230
2328290;10531572
2328317;10531446
2328343;10531547
2328369;10531461
2328395;10531414
2328422;10531695
2328448;10530718
2328474;10530871
2328500;10531178
2328527;10531235
2328553;10530886
2328579;10531599
2328605;10531045
2328631;10531180
2328657;10531715
2328684;10531456
2328709;10532074
2328736;10531567
2328762;10531276
2328789;10531100
2328814;10531112
2328841;10531072
2328867;10531040
2328893;10531343
2328920;10531015
2328946;10530952
2328972;10531175
2328998;10531265
2329024;10531381
2329051;10531401
2329077;10531391
2329103;10531356
2329129;10531717
2329156;10531740
2329181;10531737
2329208;10531358
2329234;10532079
2329260;10531461
2329286;10531316
2329313;10531286
2329339;10531235
2329365;10531660
2329392;10531456
2329417;10531338
2329444;10531491
2329470;10531399
2329497;10531454
2329522;10531373
2329549;10531542
2329575;10531773
2329601;10531466
2329628;10531599
2329653;10531629
2329680;10531690
2329706;10532069
2329732;10531875
2329759;10531830
2329784;10532018
2329811;10531961
2329837;10532192
2329863;10532219
2329890;10531644
2329915;10532119
2329942;10532094
2329968;10532116
2329994;10531725
2330021;10531624
2330047;10531434
2330073;10531235
2330099;10531399
2330125;10531800
2330152;10531971
2330178;10531968
2330204;10531660
2330230;10531971
2330257;10532164
2330283;10532488
2330309;10531941
2330335;10532184
2330362;10531783
2330387;10531843
2330414;10531634
2330440;10531461
2330466;10532109
2330493;10531705
2330518;10531399
2330545;10531604
2330571;10530974
2330597;10531080
2330624;10531426
2330649;10531306
2330676;10531788
2330702;10531195
2330728;10531449
2330754;10531399
2330781;10531020
2330807;10530708
2330833;10530886
2330860;10530927
2330885;10530806
2330912;10530984
2330938;10530977
2330964;10531424
2330990;10530994
2331017;10530819
2331043;10531491
2331069;10530964
2331095;10530984
2331122;10531311
2331147;10531306
2331174;10531464
2331200;10531639
2331226;10531328
2331253;10531306
2331279;10531466
2331305;10531394
2331331;10531424
2331358;10531067
2331383;10531208
2331410;10531476
2331436;10531311
2331462;10531311
2331488;10531343
2331515;10531333
2331541;10531414
2331567;10531527
2331593;10531449
2331620;10532352
2331646;10531311
2331672;10531205
2331699;10531326
2331724;10531660
2331751;10531394
2331777;10531373
2331803;10531366
2331830;10531655
2331855;10531353
2331882;10531409
2331908;10531637
2331934;10531552
2331960;10531378
2331987;10531286
2332013;10531491
2332039;10531614
2332065;10531617
2332091;10531973
2332118;10531655
2332144;10531404
2332170;10531963
2332196;10531511
2332223;10531735
2332249;10531506
2332275;10531800
2332301;10531788
2332327;10531730
2332354;10531805
2332380;10532114
2332406;10532716
2332432;10532049
2332459;10532141
2332484;10532064
2332511;10532397
2332537;10532633
2332564;10532282
2332589;10531988
2332616;10532162
2332642;10532347
2332668;10532438
2332695;10532244
2332721;10532320
2332747;10532269
2332773;10532744
2332799;10532101
2332826;10532192
2332851;10532229
2332878;10532536
2332904;10533150
2332930;10532237
2332957;10532711
2332983;10532385
2333009;10532478
2333035;10532157
2333062;10532320
2333088;10532162
2333114;10531943
2333140;10532774
2333167;10532485
2333192;10532217
2333219;10531921
2333245;10531655
2333271;10532146
2333297;10531956
2333324;10531778
2333350;10532157
2333376;10532367
2333402;10532136
2333428;10532069
2333455;10532074
2333481;10532146
2333507;10532194
2333533;10532345
2333559;10531921
2333586;10531890
2333612;10532034
2333638;10531921
2333665;10531983
2333690;10531715
2333717;10531614
2333743;10532392
2333769;10531966
2333796;10531883
2333822;10532029
2333848;10532259
2333874;10531978
2333901;10532385
2333926;10532282
2333953;10532408
2333979;10531928
2334005;10532084
2334031;10531845
2334058;10532049
2334084;10531946
2334110;10532167
2334136;10532317
2334162;10531966
2334189;10532018
2334215;10532141
2334241;10532013
2334267;10532084
2334294;10532131
2334319;10532101
2334346;10532094
2334372;10532049
2334398;10532134
2334425;10531855
2334451;10532064
2334477;10531840
2334503;10531931
2334530;10531911
2334555;10531778
2334582;10531742
2334608;10532079
2334634;10532089
2334661;10531843
2334687;10531908
2334713;10532074
2334739;10531838
2334765;10532295
2334792;10531993
2334818;10531855
2334844;10532151
2334871;10531863
2334896;10531830
2334923;10531619
2334949;10531823
2334975;10532362
2335002;10531644
2335027;10531481
2335054;10627352
2335080;10531579
2335106;10531522
2335133;10530839
2335158;10531065
2335185;10528532
2335211;10524057
2335237;10520031
2335264;10515383
2335290;10511168
2335316;10506008
2335342;10501598
2335368;10496142
2335395;10489748
2335421;10484174
2335447;10476868
2335473;10471724
2335499;10466665
2335526;10461640
2335552;10456612
2335578;10450488
2335604;10444945
2335630;10439006
2335657;10433380
2335683;10427521
2335709;10422355
2335736;10417349
2335762;10412475
2335788;10407389
2335814;10401368
2335841;10396125
2335867;10390971
2335893;10386475
2335919;10382108
2335945;10378115
2335971;10373719
2335998;10369051
2336024;10364635
2336050;10360066
2336076;10356049
2336102;10352174
2336129;10348703
2336155;10345257
2336181;10341972
2336207;10338433
2336234;10335543
2336260;10332633
2336286;10329241
2336312;10326508
2336338;10323426
2336365;10321009
2336391;10318843
2336417;10316652
2336443;10314082
2336469;10312398
2336496;10309291
2336522;10306785
2336548;10303950
2336575;10301714
2336600;10299228
2336627;10297002
2336653;10294891
2336679;10293857
2336705;10292281
2336731;10290223
2336758;10289081
2336784;10287353
2336811;10286092
2336837;10284906
2336862;10283050
2336889;10281991
2336915;10280342
2336942;10278412
2336967;10276783
2336994;10275577
2337020;10273976
2337046;10272933
2337073;10271820
2337099;10270677
2337125;10269890
2337151;10268920
2337178;10268398
2337204;10267516
2337229;10267275
2337256;10266862
2337282;10265843
2337308;10265690
2337335;10265508
2337360;10265213
2337387;10263839
2337413;10263145
2337439;10262879
2337466;10262485
2337492;10262195
2337518;10260880
2337544;10260280
2337571;10259728
2337596;10259737
2337623;10259320
2337649;10258753
2337675;10257803
2337702;10257789
2337727;10257261
2337754;10256878
2337780;10256681
2337806;10256862
2337833;10256626
2337859;10256602
2337885;10256493
2337911;10255775
2337937;10255676
2337964;10256094
2337989;10255716
2338016;10255469
2338042;10255829
2338068;10256041
2338095;10255706
2338121;10255692
2338147;10255622
2338173;10255878
2338200;10255843
2338226;10256060
2338252;10255686
2338279;10256130
2338304;10256375
2338331;10256621
2338357;10256793
2338383;10256666
2338409;10257050
2338435;10257527
2338462;10257478
2338488;10257754
2338514;10257729
2338540;10258723
2338567;10258680
2338593;10259477
2338619;10260033
2338645;10260486
2338672;10259935
2338697;10260905
2338724;10261067
2338750;10260664
2338776;10261613
2338802;10261865
2338829;10262491
2338855;10261963
2338881;10262200
2338908;10262948
2338933;10262751
2338960;10263036
2338986;10263721
2339012;10264283
2339039;10264863
2339065;10265390
2339091;10265808
2339117;10266523
2339144;10267138
2339169;10267064
2339196;10267526
2339222;10267517
2339248;10267325
2339275;10268181
2339300;10267640
2339327;10267502
2339353;10267354
2339379;10267650
2339406;10268240
2339432;10267532
2339458;10267561
2339484;10267487
2339511;10267202
2339536;10267615
2339563;10267360
2339589;10267763
2339615;10267611
2339641;10268181
2339668;10268221
2339694;10267920
2339720;10268674
2339746;10268571
2339772;10268437
2339799;10268871
2339825;10268492
2339851;10268693
2339877;10269068
