=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:40:55 =~=~=~=~=~=~=~=~=~=~=~=
dry ope       calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1558407;10239055
1558433;10239262
1558459;10240537
1558486;10239246
1558511;10238701
1558538;10239458
1558564;10239069
1558590;10238690
1558616;10239085
1558642;10239547
1558669;10238646
1558695;10238839
1558721;10239533
1558747;10239745
1558773;10239330
1558800;10240443
1558826;10240153
1558852;10240276
1558878;10240531
1558905;10240039
1558931;10240907
1558957;10241093
1558983;10241487
1559010;10242373
1559036;10242546
1559062;10242344
1559088;10242767
1559115;10242743
1559140;10243250
1559167;10242619
1559194;10242668
1559219;10242280
1559245;10243446
1559272;10241999
1559298;10242063
1559324;10242221
1559350;10242466
1559377;10242600
1559403;10242172
1559429;10242624
1559456;10241600
1559481;10242196
1559508;10242949
1559534;10243634
1559560;10244003
1559586;10244037
1559613;10244269
1559639;10245308
1559665;10245342
1559691;10245465
1559717;10246485
1559744;10246562
1559770;10247189
1559796;10247223
1559822;10247764
1559849;10248262
1559875;10247150
1559901;10248192
1559927;10247804
1559953;10248906
1559979;10248090
1560006;10248487
1560032;10249286
1560059;10249364
1560084;10249527
1560111;10249793
1560137;10249507
1560163;10250428
1560189;10250191
1560216;10250355
1560242;10251053
1560268;10251368
1560294;10251413
1560320;10252437
1560346;10251959
1560373;10252141
1560399;10252560
1560425;10253145
1560451;10253288
1560477;10254869
1560504;10255096
1560530;10254805
1560557;10255829
1560582;10256218
1560609;10257202
1560635;10257601
1560661;10257651
1560688;10257773
1560713;10258094
1560740;10258010
1560766;10258394
1560793;10259142
1560818;10258783
1560845;10258674
1560871;10259536
1560897;10259742
1560924;10259777
1560949;10259664
1560976;10259856
1561002;10259836
1561028;10260890
1561054;10261357
1561081;10261673
1561107;10261555
1561133;10261663
1561159;10261067
1561186;10261101
1561211;10260634
1561238;10260964
1561264;10259530
1561290;10259634
1561316;10258739
1561343;10258876
1561369;10258094
1561395;10257158
1561421;10257611
1561448;10258423
1561473;10256967
1561500;10257468
1561526;10257335
1561552;10256419
1561579;10256567
1561605;10256021
1561631;10256311
1561657;10256075
1561683;10257542
1561710;10257838
1561736;10257034
1561762;10257242
1561788;10257320
1561815;10257803
1561841;10258300
1561867;10258257
1561893;10258768
1561919;10259093
1561946;10259270
1561972;10258970
1561998;10258876
