=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:16:07 =~=~=~=~=~=~=~=~=~=~=~=
cold;
I received: cold
releasing pressure
depressurization complete
start calibration
time;humidity
59954;10584895
59980;10585184
60006;10584956
60033;10584880
60059;10585668
60085;10585167
60111;10585219
60137;10585202
60164;10585008
60190;10585136
60216;10585694
60242;10585694
60269;10585119
60295;10585465
60321;10585212
60347;10585387
60373;10585300
60400;10585638
60426;10585817
60452;10585224
60478;10584675
60504;10585445
60531;10585508
60557;10585470
60583;10586083
60609;10586175
60636;10585761
60662;10585192
60688;10585382
60714;10584860
60740;10711310
60767;10585556
60792;10585407
60819;10584705
60846;10583728
60871;10582104
60898;10577567
60924;10570543
60950;10562381
60977;10554146
61002;10546493
61029;10539852
61055;10534052
61082;10526454
61107;10521085
61134;10515132
61160;10510488
61186;10505227
61212;10500265
61239;10496731
61265;10490802
61291;10486014
61317;10481880
61343;10477277
61370;10473592
61395;10468670
61422;10464820
61449;10460276
61474;10456504
61501;10451334
61527;10447175
61553;10443872
61579;10439376
61606;10434925
61631;10431518
61658;10428412
61684;10424862
61710;10420539
61736;10416965
61763;10413002
61789;10411155
61815;10408059
61842;10405069
61867;10403338
61894;10401899
61920;10399793
61946;10397179
61973;10394106
61999;10391575
62025;10389374
62051;10385525
62078;10383186
62104;10380399
62130;10377534
62156;10375835
62182;10374866
62209;10373290
62234;10372596
62261;10370336
62287;10369130
62313;10368371
62340;10367983
62365;10366752
62392;10365063
62418;10364004
62444;10362252
62471;10361228
62496;10359387
62523;10358047
62549;10356615
62576;10355512
62602;10354232
62628;10353380
62654;10351302
62680;10350756
62707;10348737
62733;10346867
62759;10344823
62785;10342544
62811;10340944
62838;10338910
62864;10338285
62890;10337502
62916;10337729
62942;10337419
62969;10337566
62994;10337955
63021;10337596
63047;10338393
63074;10338758
63100;10338851
63126;10339289
63152;10339083
63178;10339437
63205;10339920
63231;10339708
63257;10339166
63284;10339383
63309;10339521
63336;10340255
63362;10338974
63388;10339383
63414;10339304
63441;10339019
63467;10338403
63493;10338910
63520;10339649
63546;10338059
63571;10337419
63598;10336995
63624;10336232
63650;10335676
63676;10335676
63703;10334612
63729;10334090
63755;10333391
63781;10331323
63808;10331028
63834;10330496
63860;10329974
63886;10329458
63912;10328429
63939;10328463
63965;10327813
63991;10327596
64017;10327316
64044;10327272
64070;10326952
64096;10327449
64122;10327848
64148;10328187
64174;10327828
64201;10327902
64227;10328266
64253;10328665
64280;10328827
64306;10328522
64332;10328941
64358;10329192
64385;10329704
64410;10329807
64437;10330171
64463;10330063
64489;10330807
64516;10331378
64541;10331417
64568;10332446
64594;10332845
64620;10332746
64646;10332736
64673;10332495
64699;10332933
64725;10332372
64751;10332466
64778;10331806
64804;10331486
64830;10330605
64856;10330674
64882;10330354
64909;10329778
64935;10328399
64961;10328069
64987;10327636
65014;10328000
65040;10327360
65066;10327473
65092;10327404
65118;10326627
65145;10326661
65171;10327227
65197;10327350
65223;10327759
65249;10327631
65276;10328734
65301;10328325
65328;10329394
65355;10329320
65381;10329733
65407;10330349
65433;10330462
65459;10330910
65486;10331235
65511;10331466
65538;10331934
65564;10332269
65590;10332727
65617;10332426
65642;10332884
65669;10333120
65695;10333726
65721;10333820
65748;10333928
65774;10334548
65800;10335055
65826;10334760
65852;10336134
65879;10336148
65905;10336247
65931;10336399
65957;10335981
65984;10337192
66009;10336355
66036;10336242
66062;10336035
66088;10335858
66115;10336424
66140;10335523
66167;10335902
66194;10335395
66219;10334775
66246;10334844
66272;10334450
66298;10334351
66324;10334209
66351;10334533
66376;10334199
66403;10334410
66429;10334090
66455;10334337
66482;10334253
66508;10334228
66534;10333839
66560;10333032
66586;10333130
66613;10333155
66639;10332988
66665;10331831
66691;10331314
66717;10330255
66744;10331200
66770;10330240
66796;10329615
66822;10329901
66848;10329128
66875;10328202
66901;10328109
66927;10328374
66953;10327498
66979;10327488
67006;10327365
67032;10327183
67058;10327464
67085;10327340
67111;10327754
67137;10327798
67163;10327857
67190;10328468
67215;10328749
67242;10329310
67268;10330383
67294;10330930
67321;10330851
67346;10331821
67373;10332008
67399;10332869
67426;10332633
67451;10333746
67478;10333012
67504;10332791
67530;10333180
67557;10333061
67583;10332815
67609;10332741
67635;10332776
67661;10332722
67687;10332554
67714;10332485
67740;10333490
67766;10332436
67792;10332136
67818;10332544
67845;10332712
67871;10332845
67897;10332185
67923;10332825
67950;10332845
67976;10333056
68002;10333234
68028;10333234
68054;10333012
68080;10333805
68107;10334918
68133;10334213
68159;10335297
68186;10335538
68212;10335868
68238;10336631
68264;10337044
68291;10337296
68316;10338113
68343;10339004
68369;10339157
68395;10340683
68422;10340683
68447;10341116
68474;10341273
68500;10342445
68526;10342244
68553;10343006
68579;10342849
68605;10343332
68631;10344262
68658;10344518
68683;10344907
68710;10345060
68736;10345660
68762;10346261
68789;10346822
68814;10346985
68841;10347349
68867;10347068
68893;10347566
68920;10347378
68946;10347792
68972;10347847
68998;10348831
69024;10348890
69050;10348245
69077;10348693
69103;10349067
69129;10349028
69156;10348757
69181;10348147
69208;10348097
69234;10348590
69260;10348402
69287;10347915
69312;10347841
69339;10347373
69365;10347561
69391;10347339
69417;10346202
69444;10346468
69470;10346251
69496;10345695
69523;10346497
69548;10345449
69575;10345256
69601;10345458
69628;10344784
69653;10344070
69680;10343686
69706;10343312
69733;10343435
69758;10343297
69784;10342785
69811;10342539
69837;10342947
69864;10342765
69889;10341510
69916;10341682
69942;10342214
69968;10341938
69994;10341264
70021;10341219
70047;10341441
70073;10341485
70099;10341037
70125;10341136
70152;10341672
70178;10341160
70204;10341840
70230;10341790
70256;10341495
70283;10341992
70309;10341313
70335;10341801
70361;10342455
70388;10341549
70414;10341559
70440;10341278
70466;10341653
70492;10341539
70519;10340954
70545;10341195
70571;10341219
70597;10340900
70624;10340973
70650;10340638
70676;10340683
70702;10339964
70728;10339934
70755;10340594
70781;10339752
70807;10339920
70833;10339417
70859;10339856
70886;10339654
70912;10340171
70938;10339846
70964;10340432
70991;10339772
71016;10341106
71043;10340112
71070;10340757
71095;10341510
71122;10340255
71148;10340978
71174;10341082
71200;10341224
71227;10340688
71252;10340821
71279;10340688
71305;10340407
71331;10341667
71358;10339860
71384;10340033
71410;10339516
71436;10340289
71462;10351761
71489;10339565
71515;10338925
71541;10339289
71567;10338704
71594;10339166
71620;10338837
71645;10338822
71672;10339565
71699;10338915
71724;10338935
71751;10339186
71777;10339959
71803;10339152
71830;10340048
71855;10339260
71882;10339742
71908;10340668
71935;10341761
71960;10341308
71987;10341869
72013;10341918
72040;10341924
72065;10342499
72091;10342563
72118;10343627
72144;10343509
72170;10343765
72197;10343927
72223;10344656
72248;10344922
72275;10345286
72301;10345793
72328;10345591
72353;10345508
72380;10346079
72406;10346670
72432;10346724
72459;10347063
72484;10347324
72511;10348206
72537;10347733
72563;10348944
72590;10348816
72616;10348575
72642;10349230
72668;10349619
72695;10349693
72721;10350992
72747;10350997
72773;10351573
72799;10351947
72826;10352124
72852;10352627
72878;10352676
72904;10353075
72930;10353651
72957;10354128
72983;10354084
73009;10354778
73036;10355778
73061;10355723
73088;10356280
73114;10356231
73140;10357398
73167;10357274
73192;10358151
73219;10358643
73245;10359131
73271;10359401
73298;10360361
73323;10360376
73350;10360790
73376;10361385
73402;10362050
73429;10363109
73454;10362936
73481;10363867
73507;10364019
73534;10364374
73559;10365290
73586;10365708
73612;10366215
73638;10366235
73665;10367648
73691;10367141
73717;10367633
73743;10368825
73769;10368854
73796;10369642
73822;10370050
73848;10370449
73874;10370932
73900;10370838
73927;10371793
73952;10371975
73979;10372030
74006;10373118
74031;10373536
74058;10373536
74084;10373900
74111;10374280
74136;10375220
74163;10375259
74189;10376003
74215;10376141
74241;10376633
74268;10377120
74293;10377657
74320;10377569
74346;10377953
74372;10378474
74398;10378293
74425;10379056
74451;10379764
74477;10379597
74503;10380641
74530;10379946
74556;10380237
74582;10380236
74608;10381311
74635;10381118
74660;10381926
74687;10382166
74713;10382315
74739;10382142
74766;10382448
74791;10383792
74818;10383787
74844;10383713
74870;10383738
74897;10384146
74922;10384255
74949;10384683
74975;10384880
75002;10384880
75027;10385156
75054;10385140
75080;10385598
75106;10386061
75133;10386017
75158;10386012
75185;10386632
75212;10386903
75237;10386504
75264;10387070
75290;10386608
75316;10387194
75342;10387656
75369;10387538
75394;10387588
75421;10387302
75447;10387479
75473;10387843
75500;10387475
75526;10388775
75552;10388410
75578;10389055
75604;10388804
75631;10388867
75657;10388804
75683;10388991
75709;10388847
75735;10389129
75762;10389231
75788;10388498
75814;10389045
75840;10389169
75866;10389606
75893;10389473
75919;10389572
75945;10389961
75972;10390246
75997;10389867
76024;10390379
76050;10389876
76076;10389399
76103;10389558
76128;10389823
76155;10390251
76181;10390359
76207;10390458
76234;10390483
76260;10390383
76286;10390291
76312;10390255
76339;10390306
76365;10390197
76391;10389695
76417;10389975
76443;10390803
76470;10390084
76496;10390020
76522;10390320
76548;10390029
76574;10390454
76601;10390222
76627;10390231
76653;10390813
76679;10389676
76705;10389862
76732;10390729
76758;10389808
76784;10390763
76811;10389946
76836;10390202
76863;10390488
76889;10389620
76915;10389488
76941;10390458
76968;10389956
76994;10389374
77020;10390202
77046;10389705
77072;10389084
77099;10389178
77125;10389158
77151;10389207
77177;10388804
77203;10388799
77230;10389256
77256;10388887
77282;10388705
77308;10389103
77335;10388415
77361;10388484
77387;10388031
77413;10388036
77439;10388543
77466;10387853
77492;10387888
77518;10387982
77544;10388074
77570;10387450
77596;10387489
77623;10387720
77649;10388509
77675;10387420
77701;10388434
77728;10387706
77754;10386992
77780;10387750
77806;10387833
77833;10387174
77859;10387179
77885;10386815
77912;10386760
77937;10387179
77964;10387282
77990;10386652
78016;10387021
78042;10386425
78069;10386564
78095;10385820
78121;10385761
78147;10386386
78173;10386302
78200;10386578
78226;10385746
78252;10385801
78278;10386101
78305;10385416
78331;10385929
78357;10385411
78383;10385554
78409;10385077
78436;10385722
78462;10386888
78488;10386106
78514;10384328
78541;10384885
78567;10384864
78593;10385067
78619;10385294
78645;10384471
78671;10384304
78697;10384894
78724;10385195
78751;10385195
78776;10384210
78803;10384693
78829;10384260
78855;10384801
78881;10384323
78908;10384205
78933;10384407
78960;10384077
78986;10384048
79012;10384210
79039;10383895
79064;10384323
79091;10384131
79117;10383905
79143;10383564
79170;10383369
79195;10384328
79222;10383718
79248;10383181
79274;10383171
79301;10383663
79327;10383856
79353;10383181
79379;10383019
79406;10383801
79431;10383343
79458;10383816
79484;10382965
79510;10383117
79537;10382817
79563;10383127
79589;10383250
79616;10383452
79641;10383359
79668;10382792
79694;10382811
79720;10383359
79746;10383289
79773;10383181
79799;10382817
79825;10383211
79851;10382831
79878;10382822
79903;10382694
79930;10382713
79956;10382792
79982;10382985
80009;10383531
80034;10382846
80061;10383255
80087;10383379
80113;10382940
80140;10383034
80166;10383260
80192;10382954
80218;10383048
80244;10383028
80271;10382910
80297;10383221
80323;10382896
80349;10382678
80376;10383186
80401;10383575
80428;10382910
80454;10382743
80480;10383364
80506;10383978
80533;10383398
80559;10383983
80585;10383989
80612;10383639
80637;10383545
80664;10383447
80690;10383535
80716;10383861
80743;10384673
80769;10383949
80795;10383782
80821;10384668
80847;10384313
80873;10384525
80900;10384107
80926;10384195
80952;10384545
80979;10384658
81004;10384973
81031;10384993
81057;10384540
81083;10384885
81110;10385657
81135;10385229
81162;10385342
81188;10385091
81214;10385648
81241;10385603
81267;10385874
81293;10385382
81319;10385564
81346;10385219
81372;10385304
81398;10385401
81424;10385436
81450;10386224
81477;10385983
81502;10386164
81529;10385973
81555;10386027
81581;10386874
81608;10386957
81634;10386371
81660;10386318
81686;10386159
81713;10386815
81739;10386031
81765;10386608
81791;10386883
81817;10386584
81844;10386130
81870;10386509
81896;10386623
81922;10386642
