=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:01:24 =~=~=~=~=~=~=~=~=~=~=~=
calir brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2159852;9845925
2159905;9847841
2159959;9847803
2160011;9848400
2160065;9847457
2160118;9846456
2160171;9846224
2160225;9845892
2160278;9845385
2160331;9845379
2160384;9845285
2160438;9845337
2160491;9845579
2160544;9846612
2160597;9846114
2160650;9847494
2160704;9846812
2160757;9847238
2160810;9848229
2160864;9847347
2160917;9848008
2160970;9847878
2161023;9847447
2161077;9847670
2161130;9847452
2161183;9847219
2161236;9847750
2161290;9847500
2161343;9846916
2161396;9848258
2161449;9847703
2161503;9846400
2161556;9846788
2161609;9847082
2161662;9846333
2161716;9846470
2161769;9846442
2161822;9846390
2161875;9845688
2161929;9846982
2161982;9844934
2162035;9844247
2162088;9843592
2162141;9843454
2162195;9842919
2162248;9842947
2162302;9842705
2162355;9842919
2162408;9843957
2162461;9844394
2162514;9843834
2162567;9843668
2162621;9842933
2162674;9843356
2162727;9843322
2162781;9842530
2162834;9843503
2162887;9843573
2162941;9842440
2162994;9842535
2163047;9842360
2163100;9842233
2163153;9841406
2163207;9841345
2163260;9840981
2163313;9840558
2163366;9840511
2163420;9839839
2163473;9840194
2163526;9840535
2163579;9840335
2163632;9840237
2163686;9840199
2163739;9840204
2163793;9840407
2163846;9840881
2163899;9841213
2163952;9840933
2164006;9840961
2164059;9842302
2164112;9841497
2164165;9840474
2164219;9838198
2164271;9835978
2164325;9834750
2164378;9833773
2164432;9832698
2164485;9832513
2164538;9832722
2164591;9831214
2164645;9832405
2164698;9831167
2164751;9832196
2164804;9831423
2164858;9832310
2164911;9832438
2164964;9832670
2165017;9832054
2165071;9832864
2165124;9833215
2165177;9831665
2165230;9831926
2165283;9831990
2165337;9831651
2165390;9832375
2165444;9832934
2165497;9833470
2165549;9833925
2165603;9834565
2165656;9833081
2165709;9834754
2165763;9834708
2165816;9835187
2165869;9835371
2165923;9835655
2165975;9836400
2166029;9836793
2166082;9836779
2166136;9837453
2166189;9836078
2166242;9836851
2166296;9836779
2166349;9835580
2166402;9836457
2166455;9835618
2166508;9835841
2166561;9834868
2166614;9834370
2166668;9833626
2166721;9833196
2166775;9833045
2166828;9832915
2166881;9831370
2166935;9831509
2166987;9831702
2167041;9830741
2167094;9830730
2167147;9832419
2167201;9831318
2167254;9831267
2167307;9831646
2167360;9831148
2167413;9832410
2167466;9832258
2167520;9832371
2167573;9832755
2167627;9831921
2167680;9832542
2167733;9832651
2167786;9832101
2167839;9832333
2167893;9832460
2167946;9832229
2168000;9832608
2168052;9833744
2168106;9833195
2168159;9833190
2168212;9833588
2168266;9833699
2168318;9833270
2168372;9833470
2168425;9832858
2168479;9833299
2168532;9832848
2168585;9833001
2168638;9832375
2168692;9831621
2168745;9832144
2168798;9831845
2168851;9831912
2168904;9832261
2168958;9831570
2169011;9832186
2169064;9831968
2169118;9831518
2169171;9831570
2169224;9831684
2169277;9831584
2169330;9831632
2169384;9831318
2169437;9831332
2169490;9831702
2169544;9830835
2169597;9830774
2169650;9830564
2169703;9830579
2169756;9830669
2169810;9831044
2169863;9831276
2169917;9831351
2169970;9830897
2170023;9831370
2170076;9830418
2170129;9829517
2170183;9829892
2170236;9828246
2170289;9829270
2170342;9829312
2170395;9829971
2170449;9830513
2170502;9830223
2170555;9835510
2170609;9829981
2170662;9830413
2170715;9830052
2170768;9828733
2170821;9828938
2170875;9828914
2170928;9828070
2170981;9828340
2171035;9828265
2171088;9828065
2171141;9828701
2171194;9828132
2171247;9830006
2171301;9829459
2171354;9828298
2171407;9828981
2171461;9829303
2171514;9829890
2171567;9828023
2171620;9827667
2171674;9827321
2171727;9827022
2171780;9827069
2171833;9827858
2171886;9828103
2171940;9827581
2171993;9827876
2172046;9827776
2172100;9827909
2172153;9828165
2172206;9827781
2172259;9828160
2172313;9828246
2172366;9827853
2172419;9827065
2172472;9827136
2172525;9826795
2172579;9826780
2172632;9826848
2172686;9825808
2172738;9827097
2172792;9827914
2172845;9830811
2172898;9848404
2172952;9857455
2173005;9868274
2173058;9877097
2173111;9881900
2173165;9888608
2173218;9897986
2173271;9903324
2173325;9907431
2173377;9914319
2173431;9923886
2173484;9927371
2173537;9933643
2173591;9936460
2173644;9944510
2173697;9949180
2173751;9954949
2173803;9961307
2173857;9967731
2173910;9968210
2173963;9972487
2174016;9973753
2174070;9978626
2174123;9982486
2174177;9988900
2174229;9992858
2174283;9998378
2174336;10003422
2174390;10007315
2174442;10011780
2174496;10013981
2174549;10016696
2174602;10023102
2174656;10026492
2174709;10029829
2174762;10034499
2174816;10035675
2174868;10035144
2174922;10034465
2174975;10034958
2175029;10036390
2175082;10041867
2175135;10045673
2175188;10048908
2175241;10052012
2175294;10055022
2175348;10058057
2175401;10061147
2175455;10063542
2175508;10067957
2175561;10071029
2175614;10069339
2175667;10068334
2175721;10070482
2175774;10073882
2175827;10078082
2175880;10080838
2175934;10082555
2175986;10086934
2176040;10088760
2176093;10090252
2176147;10092083
2176200;10094680
2176253;10096128
2176306;10098181
2176359;10098522
2176413;10100788
2176466;10101710
2176519;10102655
2176573;10104714
2176626;10105666
2176679;10106041
2176733;10107630
2176786;10109782
2176839;10111171
2176892;10110603
2176945;10110893
2176999;10112067
2177052;10113424
2177105;10115148
2177158;10116110
2177212;10117878
2177265;10119059
2177318;10120346
2177371;10120972
2177425;10119080
2177478;10119457
2177531;10120815
2177584;10121259
2177638;10121909
2177691;10123759
2177744;10124640
2177797;10126389
2177851;10127754
2177904;10126331
2177957;10127420
2178011;10128452
2178064;10128524
2178117;10129210
2178170;10130311
2178223;10130831
2178277;10131415
2178330;10132490
2178383;10132227
2178436;10132917
2178490;10133376
2178543;10135799
2178596;10137229
2178649;10137485
2178703;10137545
2178756;10138001
2178809;10139864
2178863;10139214
2178915;10135871
2178969;10134818
2179022;10135320
2179075;10138323
2179129;10140194
2179182;10140779
2179235;10141924
2179289;10142622
2179342;10141607
2179395;10142897
2179448;10142395
2179501;10143501
2179555;10144928
2179608;10145549
2179662;10147368
2179714;10147614
2179768;10147505
2179821;10148450
2179874;10148737
2179928;10148962
2179981;10148500
2180034;10148353
2180087;10148126
2180141;10147573
2180194;10148061
2180247;10148879
2180300;10149510
2180354;10149111
2180407;10148795
2180460;10150007
2180513;10150490
2180566;10151135
2180620;10153019
2180673;10153367
2180726;10152640
2180780;10152466
2180833;10151696
2180886;10150800
2180939;10151440
2180992;10151867
2181046;10153565
2181099;10153906
2181152;10155294
2181206;10155126
2181259;10155717
2181312;10154512
2181365;10154891
2181418;10154623
2181472;10154476
2181525;10154613
2181578;10155087
2181632;10156422
2181685;10157712
2181738;10158420
2181791;10158574
2181845;10156446
2181898;10154988
2181951;10154845
2182004;10155915
2182057;10157229
2182111;10157884
2182164;10159415
2182217;10160925
2182270;10161062
2182324;10162378
2182377;10161586
2182430;10160538
2182484;10160656
2182536;10160376
2182590;10159903
2182643;10160282
2182697;10158898
2182750;10157485
2182803;10158461
2182856;10157920
2182910;10159642
2182962;10160944
2183016;10161318
2183069;10160374
2183122;10161369
2183176;10161207
2183229;10161540
2183282;10161816
2183335;10162605
2183389;10163796
2183442;10163349
2183496;10163337
2183548;10164195
2183602;10164475
2183655;10164584
2183708;10165953
2183762;10165929
