=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:49:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrae te;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1418521;10376209
1418574;10375777
1418628;10375914
1418680;10375900
1418734;10376205
1418787;10376244
1418841;10377076
1418894;10377396
1418947;10377091
1419000;10376712
1419053;10377327
1419107;10376958
1419160;10377195
1419213;10376864
1419266;10378006
1419320;10376741
1419373;10376121
1419426;10376249
1419480;10377155
1419532;10376687
1419586;10376982
1419639;10376323
1419692;10377736
1419746;10378307
1419799;10377647
1419852;10376796
1419905;10376598
1419959;10375629
1420012;10375963
1420065;10375944
1420118;10375422
1420172;10375865
1420225;10376131
1420278;10376038
1420332;10376367
1420385;10376284
1420438;10376200
1420491;10375289
1420544;10375279
1420598;10375284
1420651;10373994
1420704;10373758
1420758;10362149
1420811;10351426
1420864;10340737
1420917;10306594
1420970;10286727
1421024;10267492
1421077;10256143
1421131;10232758
1421184;10227174
1421237;10220942
1421290;10211258
1421343;10200259
1421396;10192107
1421450;10187635
1421503;10181910
1421556;10170513
1421609;10156905
1421662;10150360
1421716;10144530
1421769;10138516
1421822;10132214
1421876;10128154
1421929;10124450
1421982;10119054
1422036;10115158
1422088;10108809
1422142;10105454
1422195;10102898
1422248;10103391
1422302;10103719
1422355;10101442
1422408;10101119
1422462;10099575
1422514;10098015
1422568;10095995
1422622;10092235
1422674;10088187
1422727;10085407
1422781;10084202
1422834;10084535
1422888;10085209
1422940;10081222
1422994;10076338
1423048;10073476
1423100;10072352
1423154;10071986
1423207;10071408
1423261;10070659
1423313;10069607
1423367;10068303
1423420;10067984
1423473;10066614
1423527;10066406
1423579;10065566
1423633;10065368
1423686;10065254
1423740;10066269
1423792;10066069
1423846;10067595
1423899;10068576
1423953;10068619
1424006;10067027
1424059;10066430
1424112;10064269
1424165;10061419
1424219;10058603
1424272;10056451
1424325;10054572
1424379;10054895
1424432;10055127
1424485;10055127
1424538;10057299
1424591;10056635
1424644;10056668
1424698;10057062
1424751;10057161
1424804;10057393
1424858;10058043
1424911;10057835
1424964;10057360
1425018;10056630
1425071;10057246
1425124;10056028
1425177;10056398
1425231;10056094
1425283;10055995
1425337;10056233
1425391;10056014
1425443;10056103
1425497;10056939
1425550;10057398
1425604;10056180
1425657;10056327
1425709;10057559
1425763;10058067
1425816;10057531
1425870;10058043
1425922;10058086
1425976;10059299
1426029;10057772
1426083;10058280
1426135;10057611
1426189;10057260
1426243;10057417
1426296;10055729
1426349;10056043
1426402;10054156
1426455;10053643
1426508;10053050
1426562;10052780
1426615;10052908
1426668;10052851
1426722;10051652
1426775;10051102
1426828;10050609
1426882;10050201
1426934;10049997
1426987;10049889
1427041;10049273
1427095;10048157
1427147;10048471
1427201;10047172
1427254;10046309
1427308;10043857
1427360;10042170
1427414;10040445
1427467;10039464
1427520;10037864
1427574;10038031
1427626;10037499
1427680;10037386
1427733;10037442
1427787;10038263
1427840;10036599
1427893;10036608
1427946;10035053
1428000;10034257
1428053;10033091
1428106;10032977
1428159;10033646
1428213;10031972
1428266;10033513
1428319;10033513
1428373;10033508
1428425;10033811
1428479;10033731
1428532;10035238
1428586;10034584
1428639;10034939
1428692;10033612
1428745;10032910
1428799;10033313
1428851;10030446
1428905;10030047
1428958;10028486
1429012;10025913
1429064;10024823
1429118;10023509
1429171;10023581
1429224;10022983
1429278;10025041
1429331;10025410
1429384;10026752
1429437;10027108
1429491;10028312
1429544;10028752
1429597;10029553
1429651;10028539
1429704;10027857
1429757;10029364
1429810;10028449
1429863;10028013
1429917;10028909
1429970;10028321
1430023;10028089
1430076;10028952
1430130;10028377
1430183;10028662
1430236;10031123
1430289;10028160
1430343;10026732
1430396;10026728
1430449;10026524
1430502;10026563
1430556;10026790
1430609;10027587
1430662;10026150
1430716;10026775
1430769;10026624
1430822;10026434
1430875;10027273
1430929;10024386
1430981;10022007
1431035;10020281
1431088;10018417
1431142;10017735
1431194;10019148
1431248;10017967
1431301;10018873
1431354;10020863
1431408;10020678
1431461;10021575
1431514;10021632
1431567;10022765
1431621;10021357
1431674;10021101
1431727;10021290
1431781;10021736
1431833;10022324
1431887;10022405
1431940;10022594
1431994;10022253
1432046;10022718
1432100;10021817
1432153;10022268
1432206;10021650
1432260;10022140
1432313;10021361
1432366;10021647
1432420;10021471
1432473;10022092
1432526;10021973
1432579;10021588
1432633;10020802
1432686;10021209
1432739;10019962
1432792;10020005
1432846;10020769
1432898;10021238
1432952;10020214
1433005;10019806
1433059;10018317
1433111;10017143
1433165;10017014
1433218;10015322
1433271;10015658
1433325;10016170
1433377;10015768
1433431;10016602
1433485;10017143
1433537;10016498
1433591;10017417
1433644;10016749
1433698;10016786
1433750;10016777
1433804;10017199
1433857;10017394
1433910;10017189
1433964;10016909
1434017;10016768
1434070;10015976
1434123;10016160
1434177;10015241
1434230;10015525
1434283;10014976
1434336;10014331
1434390;10015327
1434443;10013923
1434497;10014753
1434549;10014625
1434602;10015374
1434656;10014739
1434709;10015136
1434762;10015056
1434815;10013065
1434869;10013800
1434922;10012642
1434976;10012164
1435029;10011979
1435082;10011642
1435135;10011253
1435188;10010813
1435242;10009941
1435295;10008949
1435348;10009073
1435401;10009509
1435455;10009002
1435508;10007494
1435562;10009025
1435614;10008040
1435668;10007926
1435721;10006760
1435774;10006385
1435827;10007248
1435881;10006840
1435934;10006579
1435988;10006461
1436040;10006793
1436094;10007613
1436147;10008789
1436200;10007105
1436254;10006617
1436307;10007262
1436360;10006817
1436414;10005878
1436466;10005262
1436520;10005560
1436573;10005579
1436626;10004715
1436680;10003928
1436732;10004862
1436786;10003710
1436840;10004587
1436892;10004355
1436946;10004184
1436999;10003920
1437052;10003440
1437106;10004066
1437158;10003070
1437212;10002786
1437265;10002241
1437318;10002805
1437371;10002648
1437425;10002781
1437478;10002123
1437532;10002317
1437584;10003009
1437638;10001146
1437691;10000373
1437744;10001018
1437798;9999989
1437851;9999852
1437904;10000539
1437957;10000255
1438011;10000369
1438064;10001274
1438117;10000468
1438170;10001340
1438224;10000928
1438277;10001188
1438330;10000535
1438384;9998861
1438437;9999724
1438490;10001411
1438543;10001417
1438596;10001018
1438650;10001468
1438703;10001852
1438756;10001402
1438810;10000510
1438863;9999714
1438916;10000117
1438969;10001606
1439022;9999918
1439076;9999757
1439129;9999918
1439182;10000260
1439236;9999022
1439289;9998899
1439342;9999690
1439395;9999648
1439448;9999136
1439502;9999866
1439555;10000055
1439608;10000264
1439662;9999003
1439715;10000644
1439768;9999681
1439821;9998065
1439874;9995931
1439928;9995845
1439981;9994049
1440034;9993134
1440087;9993617
1440141;9993665
1440194;9995101
1440247;9994883
1440300;9994281
1440354;9994395
1440407;9993982
1440460;9993295
1440513;9993110
1440567;9993072
1440620;9992332
1440674;9992740
1440727;9993503
1440780;9993513
1440833;9993607
1440887;9994627
1440939;9994395
1440993;9993868
1441046;9993518
1441099;9994143
1441153;9998083
1441206;9995267
1441259;9993849
1441313;9992683
1441365;9993569
1441419;9992849
1441472;9990403
1441526;9990541
1441578;9989450
1441632;9989084
1441685;9988961
1441738;9988512
1441792;9988924
1441844;9989649
1441898;9989137
1441951;9989455
1442005;9991218
1442057;9991816
1442111;9991446
1442164;9991664
1442218;9993674
1442270;9993153
1442324;9993636
1442377;9993081
1442431;9992195
1442484;9992541
1442537;9991806
1442590;9990540
1442644;9988350
1442697;9987885
1442750;9988435
1442803;9987966
1442856;9988530
1442910;9988525
1442963;9987762
1443017;9987117
1443069;9986780
1443122;9987511
1443176;9986520
1443229;9984780
1443282;9983988
1443336;9984074
1443389;9984287
1443442;9984624
1443495;9985088
1443549;9986037
1443602;9985776
1443656;9986088
1443709;9986302
1443762;9988255
1443815;9987231
1443868;9986026
1443922;9986643
1443975;9986287
