=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:47:22 =~=~=~=~=~=~=~=~=~=~=~=
caliba rate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1302274;10210785
1302328;10200614
1302380;10189837
1302434;10179507
1302487;10169970
1302540;10166332
1302594;10156918
1302647;10146604
1302700;10143293
1302753;10139209
1302807;10136692
1302860;10134808
1302914;10133666
1302967;10128712
1303020;10121051
1303073;10116962
1303127;10114173
1303180;10113347
1303233;10109881
1303286;10102816
1303339;10100512
1303393;10094477
1303446;10092755
1303499;10091358
1303552;10089817
1303605;10088784
1303659;10087641
1303712;10087504
1303766;10086371
1303818;10088062
1303872;10087779
1303925;10089078
1303978;10088755
1304032;10087912
1304085;10087352
1304138;10088974
1304191;10086745
1304244;10086081
1304298;10086289
1304351;10085308
1304404;10083663
1304458;10082507
1304511;10081502
1304564;10080434
1304617;10086968
1304671;10076087
1304724;10073877
1304777;10073981
1304830;10072423
1304883;10073290
1304937;10071986
1304990;10073039
1305044;10072645
1305097;10073114
1305150;10073024
1305203;10073631
1305256;10072863
1305309;10073589
1305363;10073911
1305416;10074732
1305469;10075319
1305522;10077092
1305576;10075063
1305629;10075181
1305682;10074935
1305736;10075508
1305788;10075309
1305842;10075370
1305895;10074456
1305949;10074860
1306002;10074005
1306055;10073816
1306108;10072612
1306161;10072300
1306214;10071674
1306268;10068762
1306321;10067216
1306375;10066486
1306427;10066339
1306481;10066088
1306534;10066800
1306588;10063670
1306641;10062837
1306694;10061357
1306747;10059308
1306800;10058142
1306854;10057246
1306907;10055961
1306960;10055279
1307014;10054161
1307067;10054553
1307120;10052500
1307173;10052642
1307226;10052078
1307280;10052838
1307333;10053022
1307386;10055019
1307439;10054614
1307493;10054500
1307546;10053426
1307599;10052486
1307653;10052367
1307706;10051684
1307759;10051386
1307812;10050898
1307865;10050034
1307919;10049785
1307972;10049191
1308025;10049476
1308078;10049130
1308131;10049433
1308185;10048893
1308238;10050551
1308291;10048911
1308345;10048674
1308398;10047239
1308451;10047836
1308505;10046527
1308558;10045736
1308611;10045356
1308665;10043991
1308718;10042767
1308771;10041643
1308824;10041496
1308878;10040600
1308931;10041861
1308983;10040856
1309037;10040738
1309091;10040581
1309144;10040829
1309196;10041454
1309250;10040472
1309303;10041573
1309356;10041445
1309410;10041066
1309463;10041023
1309516;10040933
1309570;10040511
1309622;10041544
1309676;10040771
1309729;10040080
1309782;10038174
1309836;10038448
1309889;10037795
1309942;10036579
1309995;10035869
1310049;10035528
1310102;10035295
1310155;10033356
1310209;10034811
1310262;10035499
1310315;10034683
1310369;10036499
1310421;10036419
1310475;10036523
1310528;10039866
1310582;10038701
1310634;10038206
1310688;10037941
1310741;10037310
1310794;10036011
1310847;10036637
1310901;10037424
1310954;10036575
1311007;10035390
1311061;10035419
1311113;10034134
1311167;10034541
1311220;10033755
1311274;10033219
1311327;10032584
1311380;10033100
1311433;10033953
1311486;10032143
1311540;10032883
1311593;10033949
1311647;10032508
1311699;10031939
1311753;10030659
1311806;10030370
1311859;10028885
1311913;10028017
1311966;10027961
1312019;10027340
1312073;10026292
1312126;10025367
1312179;10025771
1312232;10026017
1312286;10026795
1312339;10025662
1312392;10026097
1312445;10026970
1312498;10025918
1312551;10025969
1312605;10025633
1312658;10026681
1312712;10025495
1312765;10024799
1312817;10024145
1312871;10023567
1312925;10024571
1312978;10024756
1313031;10026217
1313084;10026155
1313137;10026473
1313191;10026529
1313244;10025543
1313297;10025785
1313351;10026884
1313403;10026463
1313457;10025102
1313510;10025495
1313563;10025387
1313617;10026340
1313670;10024599
1313723;10025495
1313776;10024662
1313830;10023268
1313882;10022746
1313936;10022604
1313990;10021703
1314042;10020167
1314096;10020337
1314149;10019887
1314202;10019578
1314256;10018853
1314309;10018445
1314362;10018972
1314416;10017725
1314468;10017010
1314522;10016886
1314575;10015734
1314628;10013805
1314681;10013008
1314735;10013235
1314788;10012079
1314841;10011296
1314895;10009845
1314948;10009499
1315001;10010457
1315054;10009689
1315108;10011197
1315161;10011055
1315214;10011908
1315267;10012860
1315321;10013587
1315374;10013232
1315427;10015085
1315480;10014483
1315534;10014075
1315587;10013203
1315640;10012544
1315693;10011780
1315747;10011363
1315800;10009480
1315853;10007850
1315906;10006859
1315960;10005161
1316013;10006621
1316066;10005740
1316120;10007958
1316172;10007433
1316226;10008689
1316279;10009557
1316333;10010035
1316385;10009134
1316439;10009352
1316492;10009211
1316545;10008599
1316599;10007949
1316652;10007451
1316705;10006191
1316758;10006153
1316812;10004891
1316865;10005308
1316918;10004967
1316971;10003739
1317024;10003525
1317078;10004203
1317131;10003957
1317184;10002843
1317238;10003014
1317291;10001937
1317344;10001582
1317397;10000525
1317451;9999970
1317504;9999999
1317557;10000226
1317610;9999425
1317664;9999828
1317717;10000705
1317770;10001118
1317824;10001094
1317876;10001260
1317930;10001672
1317984;10001781
1318036;10001700
1318090;10000909
1318143;10000894
1318196;10001246
1318249;10000889
1318303;10000657
1318356;9999880
1318409;10001208
1318462;10001041
1318515;10001895
1318569;10000918
1318622;10000814
1318676;10002123
1318729;10001658
1318782;10001269
1318835;10001905
1318889;10002843
1318942;10001558
1318995;10001596
1319048;10001511
1319101;10001592
1319155;10000923
1319208;10001179
1319261;10001611
1319314;10000420
1319368;10000420
1319421;9998809
1319475;9997619
1319527;9997610
1319581;10095109
1319634;9996158
1319688;9995803
1319740;9995257
1319794;9996566
1319847;9996153
1319900;9996992
1319953;9998007
1320006;9998173
1320060;9998173
1320113;9997140
1320166;9996262
1320220;9996158
1320273;9995973
1320326;9995229
1320379;9994324
1320433;9994371
1320486;9993456
1320540;9993626
1320592;9992958
1320646;9992916
1320699;9991939
1320753;9992029
1320805;9992095
1320858;9992408
1320912;9991806
1320965;9992944
1321019;9992920
1321072;9991659
1321125;9990189
1321178;9989469
1321231;9988881
1321285;9987454
1321338;9988654
1321392;9988255
1321444;9988293
1321498;9988942
1321551;9990384
1321605;9991806
1321657;9992773
1321711;9992508
1321764;9992474
1321817;9992119
1321871;9992873
1321923;9992617
1321977;9992788
1322031;9992133
1322083;9992148
1322137;9992967
1322190;9992560
1322243;9992290
1322296;9992574
1322350;9991455
1322403;9991825
1322457;9990384
1322509;9990360
1322562;9990503
1322616;9988497
1322670;9988663
1322722;9988696
1322776;9987506
1322829;9985946
1322882;9986235
1322936;9985396
1322989;9986619
1323042;9986776
1323095;9985970
1323149;9986026
1323202;9987212
1323255;9987975
1323308;9987639
1323362;9988531
1323414;9988701
1323468;9988482
1323521;9989511
1323575;9988596
1323627;9990251
1323681;9989037
1323735;9989403
1323787;9988601
1323841;9988990
1323894;9989043
1323947;9989862
1324001;9988601
1324053;9988691
1324107;9988729
1324160;9988478
1324213;9988364
1324267;9988592
1324320;9988435
1324374;9988526
1324426;9988701
1324480;9987567
1324533;9987866
1324586;9987681
1324640;9986140
1324693;9986619
1324746;9987146
1324799;9987757
1324853;9987430
1324906;9987790
1324959;9987164
1325012;9986875
1325066;9985917
1325119;9985889
1325172;9984197
1325225;9984178
1325279;9983609
1325331;9983709
1325385;9983453
1325438;9984443
1325492;9984149
1325544;9984107
1325598;9985230
1325651;9985482
1325705;9984405
1325758;9984462
1325811;9984623
1325864;9983794
1325918;9983746
1325971;9985515
1326024;9983779
1326078;9984140
1326130;9984320
1326184;9982699
1326237;9983481
1326290;9982803
1326344;9982301
1326397;9981343
1326450;9982609
1326503;9981129
1326557;9980982
1326610;9981315
1326663;9980286
1326717;9980679
1326769;9981035
1326823;9981220
1326876;9981741
1326930;9981822
1326983;9982106
1327036;9981646
1327089;9981229
1327142;9981632
1327196;9981808
1327249;9981201
1327303;9980731
1327355;9981334
1327408;9981035
1327462;9981443
1327515;9981722
1327569;9981750
1327622;9982258
1327675;9983543
1327728;9982808
1327782;9982429
1327834;9982481
1327888;9982537
1327941;9982680
1327994;9982395
1328048;9980741
1328100;9981257
1328154;9982173
1328208;9981869
1328260;9982277
1328314;9982537
1328367;9982523
1328420;9981585
1328473;9981248
1328527;9980309
1328580;9979621
1328633;9979275
1328687;9979318
1328740;9978304
1328793;9978474
1328846;9978702
1328899;9979034
1328953;9979162
1329006;9979963
1329059;9979589
1329113;9980034
1329166;9980536
1329219;9980105
1329273;9980698
1329326;9979783
1329378;9980252
1329432;9979432
1329485;9977725
1329539;9977602
1329592;9977555
1329645;9978550
1329699;9977341
1329752;9977972
1329805;9978104
1329858;9978578
1329911;9979237
1329965;9979409
1330018;9979735
1330071;9979892
1330124;9980143
1330178;9979882
1330231;9979797
1330284;9979299
1330337;9980338
1330391;9979664
1330444;9980229
1330497;9979939
1330550;9979868
1330603;9978986
1330657;9978488
1330710;9978474
1330763;9979318
1330817;9979043
1330870;9978688
1330923;9979100
1330977;9979294
1331030;9978697
1331083;9978560
1331136;9978801
1331190;9978882
1331243;9978536
1331295;9978616
1331349;9978910
1331403;9978493
1331455;9978370
1331509;9978441
1331562;9978209
1331616;9977370
1331669;9974463
1331722;9977109
1331775;9982992
1331829;9989630
1331882;10008257
1331935;10019759
1331988;10027278
1332041;10037984
1332095;10044421
1332148;10044620
1332202;10061115
1332254;10065667
1332307;10072220
1332361;10076466
1332415;10091291
1332467;10101172
1332521;10108132
1332574;10111132
1332627;10117281
1332681;10121071
1332734;10123834
1332787;10128246
1332840;10132079
1332893;10131292
1332946;10135639
1333000;10143798
1333054;10149454
1333106;10157963
1333160;10162869
1333213;10168030
1333266;10171747
1333319;10177418
1333373;10183504
1333426;10183859
1333479;10187842
1333533;10189344
1333585;10193455
1333639;10197585
1333692;10201855
1333745;10203681
1333799;10205758
1333852;10212458
1333905;10215122
1333958;10215641
1334012;10219642
1334065;10221178
1334118;10223635
1334171;10226525
1334224;10232157
1334278;10232340
1334331;10236155
1334385;10239124
1334437;10238321
1334491;10242517
1334544;10246169
1334598;10249148
1334650;10251202
1334704;10254135
1334757;10257079
1334810;10258999
1334864;10260747
1334917;10261530
1334970;10263243
1335024;10263948
1335076;10265789
1335130;10267212
1335183;10270141
1335236;10271111
1335290;10271392
1335343;10272268
1335396;10273292
1335449;10274591
1335502;10278486
1335556;10277196
1335609;10280214
1335662;10282849
1335716;10284502
1335769;10285768
1335822;10286969
1335876;10288003
1335929;10287358
1335982;10288727
1336035;10291257
1336089;10289199
1336142;10293059
1336195;10296944
1336249;10295841
1336302;10296747
1336355;10296555
1336408;10298047
1336461;10297677
1336515;10298307
1336568;10300685
1336621;10301704
1336674;10303546
1336728;10304083
1336780;10305609
1336834;10306598
1336887;10308725
1336941;10309031
1336994;10309085
1337047;10309434
1337100;10310586
1337154;10311881
1337207;10312851
1337260;10313432
1337313;10314436
1337367;10316701
1337420;10317321
1337473;10317435
1337526;10316189
1337580;10316795
1337632;10315775
1337686;10316868
1337739;10317686
1337793;10318163
1337846;10320029
1337899;10320911
1337953;10320753
1338006;10319522
1338059;10319754
1338112;10318867
1338165;10317331
1338218;10319857
1338272;10321605
1338325;10323599
1338378;10324962
1338432;10325987
1338484;10327370
1338538;10328222
1338591;10328763
1338645;10329684
1338697;10329723
1338751;10330462
1338804;10330245
1338857;10330038
1338911;10330245
1338964;10329566
1339018;10330664
1339070;10330413
1339124;10331328
1339177;10330605
1339230;10331348
1339283;10330969
1339337;10331860
1339390;10331821
1339443;10332776
1339497;10334012
1339550;10335016
1339603;10331870
1339657;10335415
1339710;10335326
1339763;10334854
1339816;10334607
1339869;10334849
1339923;10334538
1339976;10334794
1340029;10336266
1340082;10337788
1340136;10337015
1340189;10336902
1340242;10337867
1340295;10338423
1340348;10340377
1340402;10340624
1340455;10340033
1340508;10340072
1340562;10340427
1340615;10340609
1340668;10340959
1340721;10341618
1340775;10342116
1340828;10344001
1340881;10343258
1340935;10341840
1340987;10341239
1341041;10341151
1341094;10341963
1341147;10342071
1341201;10342125
1341254;10340949
1341307;10342165
1341360;10342760
1341413;10343277
1341467;10342470
1341520;10343725
1341573;10343085
1341626;10345133
1341680;10344720
1341733;10345788
1341787;10346394
1341840;10345867
1341893;10346222
1341946;10344671
1342000;10344937
1342053;10346743
1342106;10345552
1342159;10347629
1342212;10348215
1342266;10346763
1342319;10346088
1342372;10346453
1342426;10345882
1342478;10346025
1342532;10346059
1342585;10346079
1342639;10345330
1342691;10345094
1342745;10345468
1342799;10346418
1342851;10346044
1342905;10345665
1342958;10343834
1343011;10345271
1343064;10345690
1343118;10346896
1343171;10346546
1343224;10346576
1343278;10347792
1343330;10349432
1343384;10350933
1343437;10350599
1343490;10350510
1343544;10351524
1343597;10349663
1343650;10349712
1343703;10349924
1343757;10349318
1343810;10349220
