=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:52:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1639938;10352957
1639992;10353542
1640044;10353469
1640098;10353926
1640151;10356669
1640205;10359781
1640257;10362616
1640311;10365299
1640364;10367643
1640418;10367028
1640470;10367274
1640524;10368475
1640577;10371059
1640630;10374275
1640684;10376072
1640737;10377504
1640790;10379671
1640843;10381217
1640897;10383231
1640950;10385101
1641003;10386406
1641056;10387685
1641110;10387676
1641163;10390512
1641216;10390080
1641269;10390355
1641322;10391851
1641376;10393205
1641429;10396661
1641483;10396636
1641535;10397563
1641589;10397543
1641643;10398188
1641695;10399787
1641749;10400964
1641802;10402254
1641855;10403642
1641909;10404804
1641962;10406189
1642015;10407104
1642069;10408350
1642121;10409428
1642175;10410191
1642227;10410319
1642281;10410377
1642334;10410693
1642388;10410126
1642441;10412008
1642494;10412824
1642548;10413045
1642600;10413430
1642654;10413809
1642708;10414992
1642760;10414405
1642813;10414135
1642867;10415765
1642920;10416360
1642973;10416802
1643027;10417788
1643080;10419220
1643133;10419919
1643187;10420648
1643239;10420776
1643293;10421100
1643346;10421509
1643399;10421996
1643453;10423696
1643506;10423533
1643559;10424892
1643612;10424429
1643665;10424414
1643719;10422037
1643772;10423154
1643826;10424966
1643879;10425635
1643932;10425212
1643985;10425158
1644039;10426093
1644092;10426591
1644145;10426506
1644198;10427615
1644252;10428240
1644304;10431395
1644358;10429771
1644412;10430022
1644464;10429741
1644518;10428993
1644571;10429386
1644624;10429789
1644678;10430366
1644730;10430471
1644784;10431278
1644837;10432341
1644891;10433079
1644944;10433187
1644997;10434695
1645050;10435029
1645103;10435531
1645157;10435895
1645210;10435993
1645263;10436324
1645316;10435644
1645370;10436107
1645423;10436392
1645476;10437042
1645530;10438022
1645583;10438254
1645636;10439110
1645689;10438756
1645743;10438442
1645796;10438371
1645849;10438879
1645902;10439883
1645955;10437531
1646009;10433842
1646062;10435664
1646115;10437854
1646168;10439333
1646222;10439973
1646275;10440420
1646329;10441070
1646381;10440091
1646435;10441139
1646488;10441405
1646541;10442247
1646594;10442055
1646648;10442089
1646701;10442409
1646754;10442995
1646807;10443187
1646861;10442695
1646914;10441853
1646967;10442074
1647021;10442374
1647074;10443640
1647127;10443014
1647180;10442587
1647234;10442754
1647287;10443536
1647340;10443852
1647394;10444384
1647447;10444482
1647499;10444171
1647553;10444472
1647606;10445230
1647660;10445180
1647713;10445860
1647766;10446136
1647819;10446841
1647872;10447122
1647926;10446588
1647979;10447388
1648033;10446299
1648085;10445529
1648139;10445240
1648192;10445491
1648245;10444510
1648299;10445057
1648352;10446224
1648405;10446927
1648458;10447466
1648512;10447220
1648565;10447338
1648618;10448814
1648671;10449213
1648725;10448786
1648778;10448553
1648831;10449308
1648884;10449140
1648937;10446575
1648991;10446457
1649044;10447318
1649097;10448111
1649150;10448864
1649204;10448789
1649257;10448455
1649311;10448829
1649363;10448254
