=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 19:08:15 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
3175797;11040882
3175823;11041117
3175849;11040872
3175876;11040942
3175901;11040623
3175928;11040754
3175954;11040825
3175980;11041005
3176007;11040937
3176032;11040905
3176059;11040916
3176085;11040958
3176111;11041058
3176138;11040914
3176163;11041017
3176190;11040909
3176216;11040868
3176242;11040804
3176269;11040867
3176295;11040937
3176321;11041154
3176347;11040761
3176373;11040691
3176400;11040723
3176426;11040846
3176452;11040942
3176478;11040963
3176505;11040974
3176531;11040893
3176557;11040888
3176583;11040809
3176609;11040744
3176636;11040691
3176662;11041086
3176688;11041012
3176714;11041000
3176740;11041352
3176767;11041033
3176793;11040974
3176819;11040632
3176845;11040900
3176872;11041319
3176897;11041224
3176924;11040872
3176950;11041112
3176977;11041017
3177002;11041063
3177029;11041017
3177055;11041117
3177081;11041070
3177108;11040942
3177134;11040872
3177160;11040835
3177186;11040974
3177213;11040712
3177239;11041065
3177265;11040777
3177291;11040807
3177317;11040867
3177343;11040968
3177370;11041277
3177396;11040958
3177422;11040665
3177449;11040798
3177474;11040616
3177500;11040681
3177527;11040639
3177553;11040765
3177579;11040746
3177605;11041091
3177632;11040723
3177658;11040441
3177684;11040830
3177710;11040648
3177737;11040542
3177763;11040483
3177789;11040804
3177815;11040558
3177842;11040809
3177868;11040456
3177894;11040397
3177920;11040500
3177946;11040574
3177972;11040893
3177999;11040670
3178025;11040542
3178051;11040530
3178077;11040825
3178104;11040942
3178130;11040788
3178156;11040846
3178182;11040669
3178209;11040797
3178235;11040958
3178261;11040772
3178287;11040760
3178314;11041054
3178339;11041182
3178366;11040781
3178392;11040772
3178418;11040925
3178445;11040867
3178470;11040968
3178497;11041224
3178523;11041000
3178549;11041002
3178576;11040754
3178602;11040728
3178628;11041368
3178654;11041068
3178681;11041459
3178707;11041075
3178732;11041086
3178759;11041272
3178786;11040995
3178811;11041175
3178838;11041026
3178864;11041203
3178890;11041459
3178916;11041123
3178942;11041245
3178969;11041096
3178994;11041139
3179021;11041096
3179047;11041310
3179074;11041209
3179100;11041431
3179126;11041175
3179153;11041214
3179178;11041300
3179205;11040905
3179231;11041191
3179257;11041480
3179284;11041240
3179309;11041175
3179335;11041305
3179362;11041256
3179388;11041240
3179415;11041203
3179440;11041661
3179467;11041294
3179493;11041267
3179520;11041480
3179545;11041507
3179572;11041298
3179598;11041345
3179624;11041426
3179651;11041379
3179676;11041724
3179702;11041677
3179729;11041384
3179755;11041379
3179781;11041454
3179807;11041347
3179834;11041337
3179860;11041319
3179886;11041335
3179913;11041789
3179939;11041049
3179965;11041352
3179992;11041321
3180017;11041421
3180044;11041400
3180069;11041319
3180096;11041161
3180122;11041182
3180148;11040963
3180175;11041000
3180201;11041261
3180227;11041529
3180253;11041544
3180280;11041705
3180305;11041700
3180332;11041501
3180358;11041523
3180385;11041486
3180410;11041305
3180436;11041433
3180463;11041565
3180490;11041508
3180516;11041651
3180541;11041784
3180568;11041661
3180594;11041566
3180620;11041742
3180647;11041815
3180673;11041896
3180699;11041977
3180725;11041833
3180751;11041849
3180778;11041870
3180803;11042045
3180830;11041935
3180856;11041987
3180883;11042259
3180908;11042078
3180935;11042120
3180961;11042078
3180987;11042035
3181014;11042169
3181040;11042061
3181066;11041945
3181092;11041763
3181118;11041982
3181145;11042052
3181171;11041912
3181197;11041828
3181223;11041726
3181249;11042061
3181276;11042057
3181302;11042147
3181328;11042436
3181354;11042071
3181380;11042163
3181407;11042168
3181433;11042126
3181459;11042103
3181485;11042138
3181511;11042082
3181538;11042291
3181564;11041922
3181590;11042270
3181617;11042259
3181642;11041833
3181669;11041896
3181695;11042222
3181722;11042057
3181747;11042126
3181774;11042019
3181800;11042169
3181826;11042184
3181853;11042057
3181878;11041987
3181905;11041805
3181931;11042492
3181957;11042087
3181984;11042040
3182010;11042147
3182036;11042143
3182062;11042168
3182089;11042120
3182115;11042110
3182141;11042126
3182167;11042233
3182193;11042110
3182220;11042057
3182246;11042050
3182271;11041992
3182298;11041821
3182324;11042031
3182351;11042071
3182377;11042131
3182403;11041949
3182429;11042169
3182456;11042440
3182481;11042120
3182508;11042462
3182534;11042105
3182561;11042120
3182586;11042035
3182613;11042199
3182639;11042217
3182665;11042099
3182691;11042206
3182718;11042280
3182743;11042371
3182770;11042345
3182796;11042345
3182822;11042766
3182848;11042403
3182875;11042052
3182901;11041917
3182928;11042217
3182953;11042164
3182979;11042312
3183006;11042259
3183032;11042334
3183058;11042345
3183084;11042243
3183111;11042180
3183137;11042233
3183164;11042248
3183189;11042483
3183216;11042312
3183241;11042457
3183268;11042436
3183294;11042317
3183321;11042403
3183346;11042364
3183373;11042504
3183399;11042408
3183425;11042382
3183451;11042403
3183477;11042387
3183503;11042434
3183530;11042441
3183556;11042477
3183583;11042578
3183609;11042478
3183635;11042334
3183661;11042398
3183688;11042531
3183714;11042515
3183739;11042590
3183766;11042990
3183793;11042547
3183819;11042538
3183845;11042659
3183871;11042980
3183897;11042541
3183923;11042531
