=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:04:07 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2322799;10592074
2322853;10591491
2322906;10590477
2322960;10590066
2323013;10589898
2323066;10589519
2323119;10588085
2323173;10588550
2323225;10587439
2323279;10587408
2323332;10587157
2323385;10587428
2323439;10587813
2323492;10587629
2323545;10588203
2323598;10588091
2323652;10587983
2323705;10588294
2323758;10588572
2323812;10589396
2323865;10589780
2323918;10590856
2323971;10590656
2324024;10590440
2324078;10589185
2324131;10588766
2324184;10587787
2324237;10587250
2324290;10587220
2324344;10586922
2324397;10586309
2324451;10587034
2324503;10587061
2324557;10587978
2324610;10588417
2324664;10588997
2324717;10588417
2324770;10588432
2324823;10587885
2324877;10587506
2324929;10585473
2324983;10584042
2325036;10583038
2325090;10582079
2325143;10581665
2325196;10580636
2325249;10580834
2325303;10580840
2325356;10581050
2325409;10581530
2325462;10581618
2325516;10582305
2325569;10582483
2325622;10583492
2325675;10583907
2325729;10583385
2325781;10582034
2325835;10581020
2325888;10580410
2325942;10579652
2325995;10578746
2326048;10578064
2326101;10578182
2326154;10578003
2326208;10578601
2326261;10578606
2326314;10578919
2326368;10579165
2326421;10579620
2326474;10580134
2326527;10580333
2326581;10579652
2326634;10579504
2326687;10579687
2326740;10579248
2326794;10579298
2326847;10579391
2326899;10579120
2326953;10579298
2327006;10580092
2327060;10580102
2327113;10580508
2327166;10581198
2327220;10580589
2327273;10579677
2327326;10579693
2327379;10578945
2327432;10579559
2327485;10578924
2327539;10579600
2327592;10580518
2327646;10580358
2327699;10580553
2327752;10580942
2327805;10581623
2327858;10582054
2327912;10582120
2327965;10582034
2328018;10581879
2328072;10582182
2328124;10581577
2328178;10581357
2328231;10580927
2328285;10580717
2328338;10580573
2328391;10580415
2328445;10580779
2328497;10580092
2328550;10579943
2328604;10579314
2328657;10578864
2328710;10578417
2328764;10578751
2328817;10577616
2328871;10577481
2328923;10575935
2328976;10575546
2329030;10574793
2329083;10574650
2329137;10574808
2329190;10575295
2329243;10574236
2329296;10574793
2329349;10575202
2329403;10576289
2329456;10577313
2329509;10577045
2329562;10577195
2329616;10577421
2329669;10577875
2329722;10578069
2329775;10578023
2329828;10577661
2329882;10577380
2329935;10576637
2329988;10576479
2330042;10576730
2330095;10576718
2330149;10576592
2330201;10576499
2330255;10576263
2330308;10575992
2330362;10575864
2330414;10575714
2330468;10576412
2330521;10576457
2330574;10576151
2330627;10575443
2330681;10575367
2330734;10574497
2330787;10574328
2330841;10573887
2330893;10573937
2330947;10573789
2331000;10574522
2331053;10575234
2331107;10574055
2331160;10573892
2331214;10573749
2331267;10573068
2331320;10572694
2331373;10572820
2331427;10570185
2331479;10570112
2331532;10569070
2331586;10568932
2331639;10568425
2331692;10568214
2331746;10567988
2331799;10567524
2331852;10566626
2331905;10566344
2331959;10566452
2332012;10566442
2332066;10566611
2332119;10566606
2332171;10567160
2332225;10567918
2332278;10568297
2332331;10568189
2332385;10569110
2332438;10568179
2332491;10568937
2332545;10568985
2332598;10570285
2332651;10569806
2332704;10570333
2332758;10570697
2332811;10570491
2332864;10570486
2332917;10570461
2332970;10570559
2333024;10570845
2333077;10571352
2333130;10570810
2333184;10570654
2333237;10570670
2333290;10570296
2333343;10569673
2333397;10569673
2333450;10568041
2333503;10568209
2333556;10567742
2333610;10567353
2333663;10567549
2333716;10567785
2333769;10568224
2333822;10568014
2333876;10567579
2333929;10567737
2333982;10568608
2334035;10568179
2334089;10568721
2334142;10568751
2334195;10569381
2334248;10569645
2334302;10569422
2334355;10575749
2334408;10569048
2334462;10569028
2334514;10568794
2334568;10567712
2334621;10567461
2334674;10566899
2334728;10567037
2334781;10567092
2334834;10566964
2334888;10566688
2334941;10567860
2334994;10568189
2335048;10568046
2335101;10567491
2335153;10567928
2335207;10566841
2335260;10567732
2335313;10568056
2335367;10567512
2335420;10566781
2335473;10567785
2335526;10567138
2335580;10566821
2335633;10566252
2335686;10564665
2335740;10564327
2335793;10562959
2335846;10562487
2335899;10561024
2335952;10560082
2336006;10560017
2336059;10560760
2336113;10561086
2336166;10561019
2336218;10561699
2336272;10561869
2336325;10562221
2336379;10562181
2336432;10561648
2336485;10562253
2336538;10561812
2336592;10560963
2336645;10560421
2336698;10560883
2336752;10561106
2336804;10560632
2336858;10561081
2336911;10560488
2336964;10561101
2337018;10562755
2337070;10563031
2337124;10563473
2337177;10563927
2337231;10564209
2337284;10564695
2337337;10564419
2337390;10563277
2337443;10563794
2337497;10562755
2337550;10562334
2337603;10560333
2337656;10560273
2337710;10559053
2337763;10558752
2337816;10558378
2337870;10559063
2337923;10558481
2337976;10558583
2338029;10558443
2338083;10559068
2338136;10559909
2338189;10560810
2338243;10562422
2338295;10564756
2338349;10573068
2338402;10584014
2338456;10592370
2338508;10604474
2338562;10613604
2338615;10622959
2338669;10634715
2338722;10643431
2338774;10651767
2338828;10659432
2338881;10667670
2338935;10670655
2338988;10675785
2339041;10683747
2339095;10690593
2339148;10697316
2339201;10702544
2339254;10707690
2339308;10712487
2339361;10716425
2339413;10719717
2339467;10724848
2339520;10730009
2339573;10733732
2339627;10736922
2339680;10743552
2339733;10746128
2339787;10750588
2339840;10755006
2339894;10760910
2339946;10764648
2340000;10768386
2340053;10772251
2340106;10776015
2340160;10780305
2340213;10784274
2340266;10787674
2340319;10791401
2340372;10794709
2340426;10799932
2340479;10798611
2340532;10803280
2340585;10806445
2340638;10808836
2340692;10811872
2340745;10814831
2340798;10818836
2340852;10821508
2340905;10824709
2340958;10828278
2341011;10830377
2341065;10831600
2341118;10833122
2341171;10835421
2341225;10837171
2341277;10839152
2341331;10841703
2341384;10844509
2341438;10845947
2341490;10847176
2341544;10850351
2341597;10851565
2341651;10854022
2341704;10856013
2341757;10857858
2341810;10859609
2341863;10860304
2341917;10861328
2341970;10861180
2342023;10862399
2342076;10863899
2342130;10866855
2342183;10870469
2342236;10871385
2342289;10872989
2342343;10874238
2342396;10874125
2342450;10874739
2342502;10874810
2342555;10876547
2342609;10877561
2342662;10879536
2342715;10880662
2342768;10882276
2342822;10882532
2342875;10882569
2342929;10883930
2342982;10884651
2343035;10885722
2343089;10887007
2343141;10888839
2343195;10889287
2343248;10890536
2343301;10891145
2343354;10890910
2343408;10892256
2343461;10892543
2343514;10893591
2343568;10894693
2343621;10895726
2343674;10896312
2343727;10897407
2343780;10898308
2343833;10899158
2343887;10900049
2343940;10901901
2343994;10900746
2344047;10902055
2344100;10903032
2344153;10904364
2344207;10905409
2344260;10906454
2344313;10906148
2344367;10905655
2344419;10905051
2344472;10906020
2344526;10907535
2344579;10907995
2344633;10908327
2344685;10908568
2344739;10910355
2344792;10911159
2344846;10913257
2344899;10913372
2344952;10914043
2345006;10914114
2345058;10913573
2345111;10911538
2345165;10912100
2345218;10913166
2345272;10913680
2345325;10914396
2345378;10914785
2345431;10916005
2345485;10916496
2345538;10917468
2345591;10918380
2345644;10919895
2345697;10920405
2345751;10920851
2345804;10920297
2345857;10920647
2345910;10921358
2345964;10921499
2346017;10921342
2346070;10922016
2346124;10921292
2346176;10920914
2346230;10921786
2346283;10923111
2346337;10923960
2346390;10922747
2346443;10922502
2346496;10922507
2346549;10922818
2346603;10923035
2346656;10923568
2346710;10923213
2346762;10924059
2346816;10923965
2346869;10923816
2346922;10924432
2346976;10924022
2347029;10924427
2347082;10925235
2347135;10926264
2347188;10926935
2347242;10927672
2347295;10928215
2347348;10928383
2347402;10928121
2347454;10928814
2347508;10928613
2347561;10928850
2347614;10928905
2347668;10928782
2347721;10929885
2347774;10930472
2347828;10930214
2347881;10930229
2347934;10930052
2347988;10929386
2348041;10930070
2348093;10931277
2348147;10931436
2348200;10932071
2348253;10932931
2348307;10932445
2348360;10931298
2348414;10930982
2348466;10931238
2348520;10932358
2348573;10932040
2348626;10932445
2348680;10932711
2348732;10931687
2348786;10932690
2348839;10933273
2348892;10932413
2348946;10931303
2348999;10930950
2349053;10932993
2349106;10933254
2349158;10933479
2349212;10932654
2349266;10932844
2349318;10932142
2349372;10932455
2349425;10932515
2349479;10933437
2349531;10933955
2349585;10934887
2349638;10935645
2349691;10935911
2349745;10936037
2349798;10935890
2349851;10936131
2349904;10935567
2349958;10935277
2350010;10935342
2350064;10935736
2350117;10936356
2350171;10937011
2350224;10937523
2350277;10937787
2350330;10937764
2350383;10938317
2350437;10937283
2350490;10937435
2350543;10937866
2350597;10937858
2350650;10937899
2350703;10937873
2350756;10938226
2350810;10938461
2350863;10939025
2350916;10938835
2350969;10939838
2351023;10940073
2351076;10939955
2351129;10940156
2351182;10939639
2351235;10939981
2351289;10940556
2351342;10939966
2351395;10939890
2351449;10940057
2351502;10940546
2351555;10940397
2351608;10940253
2351662;10937333
2351715;10936570
2351768;10933464
2351821;10933725
2351874;10940243
2351928;10935797
2351981;10937144
2352034;10937999
2352088;10938803
2352141;10939357
2352194;10939522
2352247;10939203
2352300;10938466
2352354;10939051
2352407;10939148
2352460;10940060
2352514;10940919
2352567;10941460
2352620;10941784
2352674;10942260
2352726;10941794
2352780;10941732
2352833;10942317
2352886;10942469
2352940;10942382
2352993;10941917
2353046;10942408
2353099;10941588
2353153;10941431
2353206;10941737
2353259;10941640
2353312;10939331
2353366;10938631
