=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:06:00 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
2422219;10691618
2422272;10688371
2422325;10686051
2422379;10680932
2422432;10675565
2422486;10670015
2422538;10667281
2422592;10665663
2422645;10664926
2422698;10663676
2422751;10662335
2422805;10661797
2422858;10662196
2422911;10661822
2422964;10661464
2423018;10659974
2423071;10659646
2423124;10657982
2423178;10657256
2423231;10656349
2423284;10655330
2423337;10653465
2423391;10652959
2423443;10651428
2423497;10650717
2423550;10649581
2423603;10648417
2423657;10648444
2423710;10648427
2423763;10648678
2423817;10648658
2423870;10648643
2423923;10649355
2423976;10649079
2424029;10649263
2424083;10649124
2424136;10648811
2424190;10647260
2424242;10646118
2424296;10644874
2424349;10643762
2424402;10642796
2424455;10642883
2424509;10642355
2424562;10642499
2424615;10642899
2424668;10643225
2424722;10642448
2424775;10642509
2424828;10642104
2424882;10642140
2424935;10641511
2424988;10641311
2425041;10641398
2425095;10641628
2425148;10640902
2425201;10641398
2425255;10642104
2425307;10642212
2425361;10642151
2425414;10641377
2425468;10640420
2425520;10639872
2425574;10638714
2425627;10638847
2425680;10638028
2425733;10637916
2425787;10638412
2425840;10638377
2425893;10638862
2425947;10639442
2426000;10640277
2426053;10639554
2426106;10640317
2426160;10639411
2426212;10638884
2426266;10639263
2426319;10639677
2426373;10638239
2426426;10637900
2426479;10637720
2426532;10637798
2426585;10636902
2426639;10636374
2426692;10635903
2426746;10635396
2426798;10634306
2426852;10633816
2426906;10633369
2426958;10633364
2427012;10632315
2427064;10632140
2427119;10631603
2427171;10631541
2427224;10631024
2427278;10631429
2427331;10631126
2427384;10631274
2427437;10630712
2427491;10630446
2427544;10630973
2427597;10631505
2427651;10630323
2427704;10630712
2427757;10631167
2427810;10630629
2427864;10630010
2427917;10629324
2427970;10628290
2428023;10626861
2428077;10625689
2428130;10623466
2428183;10621576
2428236;10619831
2428289;10620109
2428343;10617052
2428396;10616031
2428450;10615125
2428502;10615059
2428555;10614209
2428609;10614526
2428662;10615274
2428715;10616370
2428769;10616334
2428822;10617052
2428876;10616939
2428929;10616319
2428982;10616513
2429036;10615986
2429088;10616084
2429141;10615228
2429195;10615642
2429248;10616099
2429301;10615981
2429355;10615433
2429408;10615386
2429461;10614809
2429514;10614485
2429568;10614244
2429621;10614480
2429674;10615156
2429728;10615689
2429781;10616985
2429834;10616421
2429887;10616457
2429941;10615920
2429994;10615546
2430047;10615981
2430100;10615391
2430154;10615674
2430207;10614829
2430260;10614900
2430313;10614736
2430366;10614051
2430419;10613625
2430473;10613559
2430526;10613692
2430580;10612985
2430632;10612550
2430686;10612402
2430739;10612493
2430792;10612370
2430846;10612324
2430899;10612161
2430952;10610958
2431005;10610052
2431059;10608614
2431112;10606887
2431166;10605141
2431219;10603532
2431272;10602160
2431325;10600266
2431378;10599109
2431432;10598547
2431485;10598301
2431538;10596707
2431591;10596472
2431645;10596549
2431697;10596441
2431750;10596851
2431805;10596775
2431858;10597681
2431910;10598306
2431964;10599370
2432017;10600216
2432071;10600672
2432124;10602176
2432177;10602448
2432230;10602008
2432283;10601412
2432337;10600989
2432390;10599468
2432443;10597809
2432497;10596989
2432550;10596579
2432603;10595766
2432656;10595663
2432709;10596088
2432763;10596620
2432816;10596113
2432869;10597026
2432923;10597149
2432975;10597742
2433029;10598823
2433082;10599673
2433135;10600938
2433189;10600389
2433242;10600216
2433295;10599842
2433348;10600334
2433402;10600507
2433455;10600532
2433508;10599744
2433562;10598685
2433615;10597895
2433668;10597809
2433721;10596830
2433774;10595739
2433828;10594802
2433881;10593145
2433934;10592879
2433987;10592842
2434041;10593258
2434094;10594112
2434147;10594506
2434200;10595653
2434254;10595909
2434307;10596349
2434361;10596263
2434414;10595862
2434466;10594956
2434520;10593979
2434573;10592879
2434626;10590892
2434680;10589335
2434733;10587757
2434786;10586778
2434839;10586686
2434893;10585478
2434946;10585121
2434999;10585731
2435052;10585071
2435106;10585662
2435159;10586452
2435213;10587235
2435266;10588151
2435319;10589595
2435372;10589888
2435426;10590001
2435478;10590630
2435532;10591629
2435585;10591230
2435639;10591178
2435692;10591783
2435744;10591813
2435798;10591808
2435851;10591946
2435904;10592126
2435958;10592601
2436011;10592581
2436064;10592023
2436118;10591921
2436171;10591747
2436224;10592295
2436277;10591798
2436330;10591526
2436384;10591245
2436437;10590824
2436491;10590748
2436543;10590743
2436597;10590666
2436650;10590866
2436703;10589918
2436757;10589488
2436810;10589421
2436863;10589790
2436916;10590400
2436970;10589867
2437023;10590282
2437076;10590006
2437130;10589596
2437183;10589263
2437236;10589258
2437289;10588951
2437343;10588899
2437395;10589328
2437449;10588234
2437502;10588003
2437555;10588545
2437609;10588299
2437662;10587947
2437715;10588091
2437768;10588500
2437822;10588341
2437875;10588203
2437928;10587747
2437982;10587521
2438034;10587840
2438088;10588013
2438141;10588018
2438194;10587850
2438247;10587890
2438301;10587706
2438354;10588156
2438408;10588058
2438460;10587393
2438514;10588244
2438567;10587870
2438620;10586605
2438674;10585375
2438727;10584948
2438780;10583999
2438833;10583836
2438886;10582792
2438940;10582330
2438993;10583324
2439047;10582443
2439099;10583272
2439153;10583369
2439206;10584240
2439259;10583994
2439313;10584466
2439366;10583769
2439419;10582862
2439473;10582360
2439525;10581731
2439579;10580681
2439632;10580117
2439685;10579494
2439739;10579519
2439792;10579873
2439845;10580614
2439899;10580041
2439952;10580471
2440005;10580440
2440058;10580691
2440111;10580533
2440165;10580456
2440218;10580553
2440271;10580578
2440324;10580619
2440378;10580016
2440431;10580169
2440484;10579893
2440537;10579871
2440590;10579703
2440644;10579943
2440697;10579452
2440750;10579196
2440804;10579073
2440857;10579068
2440910;10579570
2440963;10579180
2441016;10578399
2441070;10577928
2441123;10576903
2441177;10577031
2441230;10576371
2441283;10577137
2441336;10577180
2441390;10577205
2441442;10578458
2441496;10578096
2441549;10578234
2441602;10578005
2441656;10577506
2441709;10576954
2441762;10575895
2441815;10575433
2441869;10574808
2441921;10574451
2441975;10573927
2442029;10574000
2442082;10573104
2442135;10572288
2442188;10571480
2442241;10571434
2442295;10571668
2442348;10571746
2442401;10572253
2442455;10572539
2442508;10572827
2442561;10573327
2442614;10572976
2442667;10572760
2442721;10573134
2442774;10573375
2442827;10572479
2442880;10572356
2442934;10572196
2442987;10571904
2443040;10572800
2443093;10572391
2443147;10572836
2443200;10572923
2443253;10572662
2443306;10573272
2443360;10574592
2443413;10574351
2443466;10574650
2443519;10574840
2443572;10575214
2443626;10574630
2443679;10575367
2443733;10574261
2443786;10575478
2443839;10574200
2443892;10573385
2443946;10572667
2443998;10571864
2444052;10571806
2444105;10571151
2444158;10570865
2444211;10570800
2444265;10570654
2444318;10570880
2444372;10571505
2444425;10571716
2444478;10572233
2444531;10571914
2444585;10572587
2444638;10572642
2444691;10572073
2444744;10570963
2444798;10570782
2444851;10569768
2444904;10569178
2444957;10568265
2445011;10568184
2445063;10567441
2445117;10567768
2445170;10567584
2445224;10567753
2445277;10568410
2445330;10568608
2445383;10569110
2445436;10569469
2445490;10569166
2445543;10569891
2445596;10570915
2445650;10570649
2445703;10570569
2445756;10571342
2445809;10571306
2445862;10571578
2445915;10570963
2445969;10570682
2446022;10569489
2446075;10569161
2446129;10568709
2446182;10568947
2446235;10567948
2446289;10566530
2446342;10566462
2446395;10566784
2446448;10566068
2446501;10565940
2446554;10566626
2446608;10565704
2446661;10565270
2446714;10566038
2446768;10566033
2446821;10566334
2446874;10566397
2446928;10567148
2446980;10566796
2447034;10566294
2447087;10565669
2447141;10565720
2447193;10563882
2447247;10562878
2447300;10562467
2447354;10562196
2447407;10562484
2447460;10561613
2447513;10561403
2447567;10561259
2447620;10561975
2447673;10563097
2447726;10563641
2447780;10562964
2447833;10563687
2447886;10562775
2447939;10563446
2447993;10562939
2448046;10562934
2448099;10562073
2448152;10561955
2448205;10561280
2448259;10561596
2448312;10561556
2448365;10561864
2448419;10562012
2448471;10561485
2448525;10562893
2448579;10561576
2448631;10561482
2448685;10562038
2448738;10561910
2448791;10562278
2448845;10562434
2448897;10562708
2448951;10563245
2449004;10563230
2449058;10563661
2449111;10563491
2449164;10564773
2449217;10564557
2449270;10564470
2449324;10564020
2449377;10563963
2449431;10562964
2449483;10562437
2449537;10562022
2449590;10562462
2449644;10562545
2449697;10562863
2449750;10562073
2449803;10561970
2449856;10562161
2449909;10562248
2449963;10560820
2450016;10561834
2450070;10560985
2450123;10562233
2450175;10561905
2450229;10562088
2450283;10562065
2450335;10561204
2450389;10560857
2450442;10559981
2450495;10559196
2450549;10559063
2450602;10558087
2450655;10558807
2450709;10561776
2450761;10561229
2450815;10565034
2450868;10573882
2450921;10587006
2450975;10595894
2451028;10606077
2451081;10615996
2451134;10623825
2451187;10629001
2451241;10636298
2451294;10644967
2451348;10652791
2451400;10660317
2451454;10668546
2451507;10676523
2451560;10685698
2451614;10690562
2451667;10696036
2451720;10700726
2451773;10703901
2451827;10709416
2451880;10713972
2451933;10719374
2451986;10725677
2452040;10731822
2452092;10736983
2452146;10740803
2452199;10745570
2452252;10749400
2452306;10754105
2452359;10758104
2452412;10762323
2452465;10767920
2452518;10769052
2452572;10770577
2452625;10773450
2452679;10773562
2452731;10779389
2452785;10783347
2452838;10787878
2452891;10791017
2452945;10795631
2452998;10797648
2453051;10800075
2453104;10805144
2453158;10809542
2453211;10813091
2453265;10813101
2453318;10815589
2453371;10818631
2453424;10822584
2453478;10823619
2453530;10825908
2453584;10828508
2453637;10831273
2453690;10833803
2453744;10836121
2453797;10837007
2453850;10838272
2453904;10840510
2453956;10842866
2454010;10845307
2454063;10846853
2454116;10847284
2454169;10848180
2454223;10849982
2454276;10851764
2454329;10853362
2454382;10853632
2454435;10855246
2454489;10855236
2454542;10855798
2454596;10858739
2454649;10859690
2454702;10861396
2454755;10863925
2454808;10865734
2454862;10867806
2454915;10869496
2454969;10871615
2455021;10872389
2455074;10873961
2455128;10875584
2455182;10876111
2455234;10876276
2455288;10877248
2455341;10876916
2455394;10878230
2455448;10881278
2455501;10882538
2455554;10883731
2455607;10885655
2455661;10886381
2455714;10887175
2455767;10887083
2455820;10887395
2455873;10887938
2455927;10889346
2455980;10892026
2456034;10892823
2456087;10895532
2456140;10896930
2456193;10897577
2456247;10895075
2456299;10894913
2456353;10896274
2456406;10897219
2456459;10897990
2456513;10897990
2456566;10898625
2456619;10898564
2456673;10898201
2456725;10899782
2456779;10900971
2456832;10901503
2456885;10903069
2456939;10904518
2456992;10904780
2457045;10905030
2457098;10904937
2457151;10905193
2457205;10905641
2457258;10906153
2457311;10905804
2457365;10907008
2457418;10907797
2457471;10908071
2457524;10908912
2457578;10909623
2457631;10909824
2457684;10910391
2457738;10911891
2457790;10911441
2457843;10912327
2457897;10911373
2457951;10910386
2458003;10910626
2458057;10911574
2458110;10911849
2458164;10912270
2458217;10912904
2458270;10913578
2458323;10914437
2458376;10914207
2458429;10914918
2458483;10916418
2458536;10917575
2458589;10918659
2458642;10919516
2458696;10919054
2458749;10918758
2458803;10918727
2458855;10918455
2458909;10918732
2458962;10919054
2459015;10920169
2459069;10920836
2459122;10920958
2459175;10920590
2459228;10921266
2459282;10921010
2459335;10921149
2459388;10920938
2459442;10921768
2459495;10922463
2459548;10922398
2459601;10922353
2459654;10922588
2459708;10923009
2459761;10923489
2459815;10923105
2459868;10923056
2459920;10924299
2459974;10923955
2460027;10924540
2460081;10925953
2460134;10925266
2460187;10926489
2460240;10923889
2460293;10923654
2460347;10923526
2460400;10924119
2460454;10924161
2460506;10925287
2460559;10926622
2460613;10928260
2460666;10929503
2460720;10930587
2460773;10929895
2460826;10929730
2460879;10928338
2460933;10928239
2460986;10928189
2461039;10928200
2461092;10927988
2461145;10928194
2461199;10928547
2461252;10929315
2461305;10928691
2461359;10928991
2461411;10929090
2461465;10930253
2461519;10930700
2461571;10929670
2461625;10929459
2461678;10929023
2461731;10927795
2461784;10928824
2461838;10928983
2461891;10929090
2461945;10928469
2461997;10929346
2462051;10929109
2462104;10930391
2462157;10930509
2462210;10931180
2462264;10931212
2462317;10931549
2462370;10931841
2462424;10931068
2462477;10932076
2462530;10931933
2462584;10931969
2462637;10930812
2462689;10931052
2462743;10930775
2462796;10930564
2462849;10931120
2462902;10931063
2462956;10930736
2463010;10931031
2463062;10931677
2463116;10931891
2463169;10931191
2463222;10930843
2463275;10932189
2463329;10932476
2463382;10932962
2463435;10932680
2463489;10933657
2463542;10933356
2463595;10932774
2463648;10932118
2463701;10932379
2463755;10933014
2463808;10933545
2463861;10933996
2463914;10934788
2463968;10935081
2464021;10934642
2464075;10934744
2464128;10934482
2464181;10934023
2464234;10933555
2464287;10933571
2464340;10934697
2464394;10935159
2464447;10933560
2464500;10926201
2464553;10927048
2464606;10928179
2464660;10928840
2464713;10929898
2464767;10930731
2464820;10930746
2464873;10931350
2464926;10932413
2464980;10933490
2465032;10935148
2465086;10935177
2465139;10936089
2465192;10937011
2465246;10936996
2465299;10936585
2465353;10936565
2465406;10937278
2465458;10936766
2465512;10937831
2465565;10938579
2465618;10938247
2465672;10938673
2465725;10938435
2465778;10938051
2465832;10937816
2465885;10938148
2465938;10937936
2465992;10938902
2466044;10938681
2466098;10939378
2466151;10940985
2466204;10939853
2466258;10939793
2466311;10939634
2466364;10939814
2466417;10939020
2466471;10939030
2466523;10940402
2466577;10939869
2466630;10939117
2466683;10940023
2466737;10940172
2466790;10939885
2466843;10939511
2466896;10939874
2466950;10940334
2467003;10941032
2467057;10941246
2467110;10941727
2467163;10942050
2467216;10942868
2467269;10943474
2467323;10943412
2467376;10942398
2467429;10943001
2467482;10943769
2467536;10943375
2467589;10943341
2467642;10943790
2467695;10944067
2467748;10944088
2467802;10945603
2467855;10943877
2467908;10943877
2467962;10944564
2468015;10944344
2468068;10944718
2468121;10943576
2468174;10942147
2468228;10940094
2468281;10937672
2468334;10936797
2468387;10937573
2468441;10938534
2468494;10938937
2468548;10939830
2468601;10940311
2468654;10941241
2468707;10941186
2468760;10939537
2468813;10938772
2468867;10939613
2468920;10939127
2468973;10940290
2469027;10941063
2469080;10939352
2469133;10938712
2469187;10939085
2469240;10939577
2469293;10940279
2469346;10939906
2469399;10939762
2469452;10940718
2469506;10941196
2469559;10942137
2469612;10941886
2469666;10942003
2469719;10943657
2469772;10944297
2469826;10944634
2469878;10945198
2469932;10944953
2469985;10945029
2470039;10944728
2470092;10943325
2470145;10942952
2470198;10944616
2470251;10944276
2470305;10944958
2470358;10945065
2470411;10945974
2470464;10946356
2470518;10948365
2470571;10947406
2470625;10946648
2470677;10946497
2470731;10945870
2470784;10945371
2470837;10945653
2470891;10946277
2470944;10946202
2470997;10945172
2471050;10945018
2471103;10945167
2471156;10945818
2471210;10944846
2471263;10944861
2471316;10945240
2471370;10945541
2471423;10944867
2471476;10944846
2471529;10944368
2471582;10944245
2471636;10943790
2471690;10944527
2471743;10944138
2471796;10945930
2471848;10946155
2471902;10946787
2471956;10947309
2472008;10946797
2472062;10946345
2472115;10946102
2472168;10945381
2472222;10945423
2472275;10945381
2472328;10945509
2472382;10946429
2472434;10946013
2472488;10945786
2472541;10944697
2472595;10944005
2472648;10944313
2472701;10944747
2472754;10945381
2472807;10946110
2472861;10946001
2472914;10946306
2472967;10946006
2473020;10945917
2473074;10946465
2473127;10946769
2473180;10947145
2473234;10947387
2473286;10948660
2473340;10948722
2473393;10947623
2473446;10945588
2473500;10945481
2473553;10946191
2473606;10946215
2473659;10946387
2473713;10946285
2473766;10946941
2473819;10946653
2473873;10946875
2473926;10946946
2473979;10947223
2474032;10946131
2474086;10945831
2474138;10945470
2474192;10946465
2474245;10945838
2474299;10945802
2474352;10945946
2474405;10946669
2474458;10946823
2474511;10947761
2474565;10947121
2474618;10947181
2474671;10947330
2474724;10946374
2474778;10946296
2474831;10946486
2474884;10949807
2474937;10950298
2474991;10949767
2475044;10949556
2475097;10949833
2475150;10948845
2475204;10949292
2475257;10950648
2475310;10950201
2475363;10950162
2475417;10949945
2475470;10948589
2475524;10948349
2475577;10948691
2475630;10948691
2475683;10949347
2475736;10949399
2475789;10949485
2475843;10949655
2475896;10950248
2475949;10950157
2476003;10949310
2476056;10949869
2476109;10949663
2476162;10949694
2476216;10950724
2476268;10950468
2476322;10950462
2476375;10950648
2476429;10950671
2476481;10950196
2476535;10950104
2476588;10950520
2476641;10950287
2476695;10950068
2476748;10949679
2476801;10949935
2476855;10949895
2476908;10950515
2476961;10949658
2477014;10949535
2477067;10950238
2477121;10950413
2477174;10950253
2477227;10950980
2477281;10950052
2477333;10950585
2477387;10950157
2477440;10950530
2477493;10950569
2477547;10951037
2477600;10951695
2477653;10951486
2477706;10951220
2477760;10952158
2477813;10951390
2477866;10950922
2477920;10951262
2477973;10951016
2478026;10951557
2478079;10951348
2478132;10951933
2478186;10951967
2478239;10951528
2478292;10952202
2478345;10952085
2478399;10952928
2478452;10953968
2478505;10953130
2478558;10952858
2478612;10952847
2478665;10953728
2478718;10954454
2478771;10952884
2478825;10954318
2478878;10953616
2478931;10954666
2478985;10953077
2479038;10952158
2479091;10952163
2479145;10951035
2479197;10951829
2479250;10951369
2479304;10951774
2479357;10951680
2479411;10951844
2479464;10952772
2479517;10954653
2479570;10954465
2479624;10954935
2479677;10954794
2479730;10954585
2479783;10955415
2479837;10954579
2479890;10955679
2479943;10955157
2479996;10954433
2480050;10953986
2480103;10953093
2480156;10953391
2480210;10953524
2480262;10953054
2480316;10953472
2480369;10953780
2480422;10953678
2480476;10953945
2480529;10955068
2480582;10955455
End Calibration
I received: 
