=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 16:03:44 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
start calibration
257379;10476011
257406;10476897
257432;10477581
257458;10478369
257484;10478685
257510;10478946
257537;10478999
257563;10479787
257589;10479541
257615;10479360
257642;10479523
257668;10479697
257694;10479789
257720;10479910
257747;10479940
257772;10480530
257799;10480136
257825;10479694
257851;10479310
257878;10478532
257903;10478454
257930;10478171
257956;10477834
257982;10477325
258008;10477237
258035;10477759
258061;10478118
258087;10478025
258113;10478364
258140;10478745
258165;10478826
258192;10478803
258218;10478640
258245;10478607
258271;10478733
258297;10479034
258323;10479478
258350;10479689
258375;10479940
258402;10480675
258428;10480008
258454;10480141
258480;10479493
258507;10479536
258532;10479571
258559;10480023
258585;10479807
258612;10479142
258638;10478793
258664;10478808
258690;10478437
258716;10478788
258743;10478517
258769;10478394
258795;10477882
258821;10478266
258848;10479149
258873;10479144
258900;10479501
258926;10480570
258953;10480723
258978;10479408
259005;10478743
259031;10478527
259057;10478615
259084;10478040
259109;10477955
259136;10477982
259162;10478856
259188;10479566
259214;10479993
259241;10480452
259267;10480660
259293;10480949
259319;10481647
259346;10481747
259372;10482726
259398;10483150
259424;10483002
259450;10482899
259477;10482977
259503;10482465
259529;10482402
259555;10483012
259581;10482648
259608;10482224
259634;10481923
259660;10481692
259686;10481694
259713;10481993
259739;10481772
259764;10482096
259791;10482053
259817;10482026
259843;10481925
259870;10481160
259896;10480964
259922;10480668
259948;10480625
259975;10480550
260001;10480846
260027;10480859
260053;10481192
260080;10481044
260106;10480866
260132;10481373
260158;10481300
260184;10481125
260211;10479596
260237;10479865
260263;10480590
260289;10480959
260315;10481275
260342;10481278
260368;10481855
260394;10481885
260420;10482565
260446;10482121
260473;10482186
260499;10482756
260526;10483431
260551;10483537
260577;10483446
260604;10483602
260630;10483361
260656;10483092
260682;10482947
260709;10482480
260734;10482560
260761;10482038
260787;10482460
260814;10482329
260839;10482304
260866;10482184
260892;10482934
260919;10481775
260945;10481584
260971;10481860
260997;10482116
261023;10482530
261050;10482671
261075;10483190
261102;10483479
261128;10483732
261155;10483973
261181;10484641
261207;10484992
261233;10485494
261259;10486064
261286;10486099
261311;10486009
261338;10486079
261364;10486706
261390;10486877
261416;10487073
261443;10487454
261469;10487000
261495;10486588
261521;10485361
261548;10485138
261574;10484500
261600;10484789
261626;10485093
261653;10484894
261678;10485093
261705;10485090
261731;10485095
261757;10485241
261784;10485243
261809;10486162
261836;10485755
261862;10485580
261889;10485336
261915;10485243
261940;10485193
261967;10485778
261993;10486014
262020;10485449
262045;10484440
262072;10484744
262098;10484791
262124;10485017
262150;10485645
262177;10485813
262203;10485946
262229;10486252
262255;10486345
262281;10486157
262308;10486330
262334;10486300
262360;10485913
262387;10484842
262413;10484711
262439;10484701
262465;10484425
262492;10484864
262517;10485163
262544;10484641
262570;10484804
262596;10485065
262622;10484992
262649;10485206
262675;10485765
262701;10485394
262727;10486064
262753;10486172
262780;10486222
262806;10486094
262832;10486059
262858;10486154
262884;10485926
262911;10485655
262937;10485873
262963;10486167
262990;10486423
263015;10486591
263042;10486827
263068;10487005
263095;10487163
263120;10486895
263147;10487221
263173;10487301
263199;10487123
263225;10487186
263252;10487432
263278;10487065
263304;10486955
263330;10486674
263356;10486872
263383;10487354
263409;10486802
263435;10486222
263461;10485833
263488;10485514
263514;10485966
263540;10486154
263566;10485946
263592;10485695
263619;10485758
263644;10485670
263671;10486724
263697;10486759
263723;10486779
263750;10487279
263776;10487251
263802;10487201
263828;10487595
263854;10486774
263881;10486463
263907;10487005
263933;10486857
263959;10486721
263985;10485391
264011;10485286
264038;10485404
264064;10485115
264091;10485203
264117;10485818
264143;10485655
264169;10486636
264195;10486912
264221;10487763
264247;10487886
264274;10487861
264300;10488029
264327;10487931
264352;10488092
264379;10488255
264405;10487861
264431;10488054
264457;10487171
264483;10487344
264510;10486029
264536;10485002
264562;10485035
264588;10484651
264615;10484513
264641;10484849
264667;10484859
264693;10484884
264720;10485301
264746;10485050
264772;10485502
264798;10485617
264824;10486483
264851;10486458
264877;10485522
264903;10482929
264929;10483429
264956;10483790
264982;10484026
265008;10483840
265034;10484237
265060;10484907
265087;10485371
265113;10585209
265139;10485951
265165;10485637
265192;10485989
265218;10486696
265244;10487497
265270;10487572
265296;10485916
265323;10484076
265348;10480480
265375;10472799
265401;10462990
265427;10453096
265453;10444034
265480;10437972
265506;10432928
265532;10416994
265558;10407522
265585;10402254
265611;10398261
265637;10394293
265663;10389286
265690;10381994
265716;10377460
265742;10374866
265768;10371286
265795;10368091
265820;10364635
265847;10361469
265873;10359160
265900;10356610
265925;10353858
265952;10350860
265978;10347881
266004;10345843
266031;10340978
266056;10335932
266083;10332929
266109;10327966
266135;10322772
266161;10318838
266188;10316056
266214;10312605
266240;10309887
266266;10307041
266293;10304294
266318;10302428
266345;10301010
266371;10299085
266397;10297303
266424;10295570
266450;10293222
266476;10290494
266503;10287166
266528;10284266
266554;10282558
266581;10281543
266607;10281208
266633;10281480
266660;10281159
266685;10281799
266712;10281253
266738;10280529
266764;10279318
266791;10277688
266817;10275738
266843;10273415
266870;10272125
266895;10271254
266922;10271293
266948;10271594
266974;10271347
267000;10270663
267027;10269920
267053;10269516
267079;10269378
267105;10269313
267131;10268797
267157;10267975
267184;10267665
267210;10267852
267236;10267393
267262;10266626
267289;10266173
267315;10265424
267341;10265272
267367;10264858
267393;10263627
267420;10263666
267446;10262628
267472;10262308
267498;10261683
267525;10260717
267551;10259955
267577;10259202
267604;10259202
267629;10259171
267655;10258625
267682;10258192
267708;10258231
267735;10258212
267760;10258439
267787;10258389
267813;10258231
267839;10257365
267866;10256779
267892;10256577
267918;10256690
267944;10255553
267970;10254893
267996;10254381
268023;10253431
268049;10253476
268075;10252737
268102;10252471
268128;10252244
268154;10251732
268180;10251003
268206;10251343
268232;10250674
268259;10250467
268285;10249985
268311;10249561
268337;10249365
268363;10248818
268390;10248675
268416;10248069
268443;10247454
268468;10247233
268494;10247095
268521;10246883
268547;10246505
268573;10246528
268599;10246194
268626;10245667
268652;10245564
268678;10245515
268704;10245233
268730;10245312
268757;10244919
268783;10244791
268809;10244259
268835;10244815
268862;10244491
268888;10244421
268914;10245017
268940;10245169
268967;10245115
268992;10244972
269019;10245136
269045;10244535
269072;10244805
269097;10245037
269124;10244884
269150;10245154
269176;10245165
269202;10245092
269229;10245061
269255;10244982
269281;10245244
269307;10245278
269334;10245415
269359;10245687
269386;10245790
269412;10245962
269439;10246981
269464;10246927
269491;10247011
269517;10246908
269543;10247307
269569;10247391
269596;10247474
269622;10247907
269648;10247745
269674;10247464
269701;10247641
269726;10247056
269753;10247346
269779;10246868
269806;10246479
269831;10245568
269858;10245121
269884;10244185
269910;10243624
269937;10242994
269962;10242604
269989;10241803
270015;10240414
270041;10240014
270068;10239133
270093;10238460
270120;10237731
270146;10236937
270172;10236436
270198;10235816
270225;10235485
270251;10235574
270277;10234871
270303;10235052
270330;10234805
270356;10235244
270382;10235471
270408;10235475
270435;10236968
270461;10236131
270487;10236080
270513;10236484
270539;10236459
270566;10236721
270592;10236096
270618;10236721
270644;10236751
270671;10236608
270696;10237135
270723;10237013
270749;10236519
270776;10236337
270801;10235894
270828;10235686
270854;10235436
270880;10235200
270907;10234359
270932;10233920
270959;10233457
270985;10232423
271011;10232276
271037;10232220
271063;10231990
271090;10231001
271116;10229696
271142;10228459
271168;10227539
271195;10227007
271221;10226343
271247;10225329
