=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:23:17 =~=~=~=~=~=~=~=~=~=~=~=
calibar  ratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2530902;10158229
2530955;10157151
2531008;10157352
2531062;10157441
2531115;10157130
2531168;10157456
2531221;10157304
2531275;10157509
2531328;10157096
2531381;10157978
2531434;10157850
2531488;10158420
2531540;10158854
2531594;10159308
2531647;10159579
2531700;10160202
2531754;10160282
2531807;10160098
2531860;10160132
2531914;10159789
2531967;10160509
2532020;10159248
2532074;10158386
2532127;10158528
2532180;10157309
2532233;10157253
2532286;10155510
2532339;10153826
2532393;10153082
2532446;10152114
2532499;10152007
2532553;10151198
2532606;10150387
2532659;10149481
2532713;10149312
2532765;10148904
2532819;10147737
2532872;10147696
2532925;10148967
2532979;10149169
2533032;10149618
2533085;10149834
2533138;10150720
2533192;10150981
2533244;10152036
2533298;10151500
2533351;10151925
2533404;10151408
2533458;10151889
2533511;10151918
2533564;10153039
2533617;10152065
2533671;10153239
2533724;10152964
2533777;10153826
2533830;10153348
2533884;10153210
2533937;10152266
2533990;10151903
2534043;10152538
2534097;10152246
2534150;10151851
2534203;10151580
2534256;10152739
2534310;10153003
2534363;10152635
2534416;10152162
2534469;10153097
2534523;10152817
2534576;10152783
2534630;10152797
2534682;10152055
2534736;10152425
2534789;10151514
2534842;10152024
2534896;10152220
2534948;10152290
2535002;10152911
2535055;10153403
2535109;10152597
2535162;10152768
2535215;10152551
2535269;10151437
2535322;10152669
2535374;10151927
2535428;10152633
2535481;10151862
2535535;10152722
2535588;10152341
2535641;10152138
2535694;10152538
2535747;10152983
2535801;10152870
2535854;10152886
2535908;10152502
2535960;10152604
2536014;10152814
2536067;10152123
2536120;10151976
2536174;10151476
2536227;10152070
2536280;10151519
2536333;10150998
2536387;10151150
2536440;10151379
2536493;10150519
2536546;10150292
2536600;10150307
2536652;10150145
2536706;10150607
2536760;10149845
2536813;10150213
2536866;10150061
2536919;10150991
2536972;10150401
2537026;10149435
2537079;10150360
2537132;10148841
2537186;10149918
2537239;10149145
2537292;10149607
2537345;10150237
2537398;10150485
2537451;10151027
2537505;10151283
2537558;10151862
2537611;10151809
2537664;10150870
2537718;10150401
2537771;10148140
2537825;10146278
2537878;10145288
2537931;10143803
2537984;10143537
2538037;10142784
2538090;10143385
2538144;10143626
2538197;10143651
2538251;10144192
2538304;10144315
2538357;10143713
2538410;10142938
2538463;10142170
2538517;10141750
2538570;10141897
2538623;10143257
2538676;10142854
2538729;10143300
2538783;10144682
2538836;10144713
2538890;10144994
2538942;10145762
2538996;10146097
2539049;10145846
2539103;10146056
2539156;10145752
2539209;10145539
2539262;10144820
2539315;10144511
2539368;10143356
2539422;10142938
2539475;10141687
2539528;10141996
2539582;10142660
2539635;10142356
2539688;10142779
2539741;10142351
2539795;10142474
2539848;10142967
2539901;10142489
2539954;10142499
2540008;10142484
2540061;10141554
2540114;10142346
2540167;10143100
2540221;10143545
2540274;10143665
2540327;10144658
2540380;10144969
2540434;10144723
2540487;10145042
2540540;10144192
2540593;10144665
2540647;10144496
2540700;10144614
2540753;10144793
2540806;10143827
2540860;10144477
2540913;10143856
2540966;10143965
2541019;10143904
2541073;10143545
2541126;10142617
2541179;10143247
2541232;10142508
2541286;10140991
2541339;10141095
2541393;10140569
2541445;10140252
2541498;10140081
2541552;10140499
2541605;10140702
2541658;10140859
2541711;10141607
2541765;10141100
2541818;10141441
2541871;10141803
2541924;10142322
2541978;10142061
2542031;10141692
2542084;10141844
2542137;10141513
2542191;10141740
2542244;10140972
2542297;10140987
2542351;10140559
2542404;10140071
2542457;10140071
2542510;10139574
2542564;10139233
2542617;10139284
2542670;10138849
2542723;10138156
2542776;10137885
2542830;10140641
2542883;10161719
2542937;10178606
2542990;10188950
2543042;10195098
2543096;10195049
2543149;10204326
2543203;10211891
2543256;10218953
2543309;10228701
2543363;10236514
2543415;10242629
2543469;10242846
2543522;10248715
2543575;10247947
2543628;10254302
2543682;10265228
2543735;10271199
2543789;10277146
2543841;10280510
2543895;10287402
2543948;10292468
2544001;10298367
2544055;10305294
2544108;10307032
2544161;10314569
2544215;10320379
2544267;10324411
2544321;10326937
2544374;10330890
2544427;10335346
2544480;10338955
2544534;10341756
2544587;10343652
2544641;10352036
2544694;10355999
2544747;10360642
2544800;10364137
2544853;10364167
2544907;10366417
2544960;10370016
2545013;10373837
2545066;10378632
2545120;10381330
2545173;10385535
2545226;10389557
2545280;10391359
2545333;10395741
2545386;10399561
2545439;10403017
2545493;10405448
2545546;10405568
2545599;10406001
2545653;10411205
2545705;10415371
2545759;10417231
2545812;10418082
2545865;10421554
2545919;10424060
2545971;10426639
2546025;10427048
2546078;10429490
2546132;10429558
2546184;10431086
2546238;10433661
2546291;10436530
2546345;10437441
2546398;10439845
2546451;10442463
2546504;10444791
2546557;10446834
2546611;10447338
2546664;10449873
2546717;10451010
2546771;10453106
2546823;10455254
2546877;10455116
2546930;10456865
2546984;10458828
2547037;10460104
2547090;10461284
2547143;10464516
2547196;10465545
2547250;10466529
2547303;10468394
2547356;10469837
2547409;10471376
2547462;10473514
2547516;10473042
2547569;10475504
2547623;10473476
2547676;10475685
2547729;10477586
2547782;10478482
2547835;10478964
2547889;10480113
2547942;10480941
2547995;10481584
2548049;10482821
2548102;10484606
2548155;10485492
2548208;10486862
2548261;10487028
2548315;10488581
2548368;10488782
2548421;10490732
2548475;10491475
2548528;10490757
2548581;10492562
2548634;10495323
2548687;10496134
2548741;10496837
2548794;10498044
2548847;10499683
2548900;10498953
2548954;10498875
2549007;10500466
2549061;10499575
2549113;10499992
2549167;10501553
2549220;10502459
2549273;10502635
2549327;10502828
2549380;10504296
2549433;10504173
2549486;10504936
2549539;10504595
2549593;10505531
2549646;10506063
2549700;10506668
2549753;10507062
2549805;10508003
2549859;10508302
2549912;10508874
2549966;10509361
2550019;10510207
2550072;10511143
2550125;10511698
2550179;10511276
2550231;10511841
2550285;10512029
2550338;10512253
2550392;10512893
2550444;10514077
2550498;10514891
2550551;10515152
2550605;10515679
2550658;10516653
2550711;10516673
2550764;10517130
2550817;10518247
2550871;10518869
2550924;10518332
2550977;10518410
2551031;10519168
2551084;10520242
2551137;10520096
2551190;10520377
2551243;10520164
2551297;10520814
2551350;10521341
2551403;10520789
2551457;10522202
2551510;10522749
2551563;10523166
2551616;10524087
2551669;10524205
2551723;10525352
2551776;10524609
2551829;10524757
2551883;10525204
2551936;10524285
2551989;10525515
2552042;10525736
2552096;10526273
2552149;10526396
2552202;10526366
2552255;10527129
2552308;10527995
2552362;10528587
2552415;10528236
2552468;10528437
2552522;10527847
2552574;10528384
2552628;10528924
2552681;10527875
2552735;10528929
2552787;10529642
2552841;10529717
2552894;10530179
2552948;10530159
2553001;10530866
2553054;10530856
2553107;10531895
2553161;10531742
2553213;10532239
2553267;10532418
2553320;10531584
2553373;10531597
2553427;10533073
2553480;10533073
2553533;10532546
2553586;10532694
2553640;10531961
2553693;10532448
2553746;10532475
2553800;10532556
2553853;10532889
2553906;10533093
2553959;10533637
2554013;10534799
2554065;10534375
2554119;10534927
2554172;10534860
2554226;10534754
2554279;10534707
2554332;10535342
2554385;10535813
2554438;10535977
2554492;10536064
2554545;10537211
2554598;10537392
2554652;10537435
2554705;10536639
2554758;10536948
2554812;10537224
2554864;10536908
2554918;10536057
2554971;10535957
2555024;10535721
2555078;10536155
2555131;10536998
2555185;10536775
2555237;10537756
2555290;10538331
2555344;10538539
2555397;10538612
2555451;10539646
2555504;10540314
2555557;10540560
2555610;10539541
2555663;10539661
2555717;10539704
2555770;10539975
2555824;10539764
2555876;10540442
2555930;10540319
2555983;10540645
2556036;10540876
2556089;10541280
2556143;10541574
2556196;10541117
2556249;10542003
2556302;10542608
2556355;10542683
2556409;10542899
2556462;10543386
2556515;10544227
2556568;10543735
2556622;10543966
2556675;10544503
2556728;10544696
2556781;10544834
2556835;10545407
2556888;10545100
2556942;10544468
2556995;10544475
2557048;10544646
2557101;10545156
2557154;10545693
2557208;10544937
2557261;10544531
2557314;10543376
2557367;10542929
2557421;10543702
2557474;10543823
2557527;10544184
2557581;10545028
2557634;10544744
2557687;10547071
2557740;10547553
2557794;10547738
2557847;10547470
2557899;10547010
2557953;10547158
2558006;10547214
2558060;10546852
2558113;10546877
2558166;10547036
2558219;10547359
2558273;10547409
2558326;10547650
2558379;10548019
2558432;10547942
2558486;10548331
2558539;10548300
2558592;10548208
2558645;10548122
2558699;10548398
2558752;10548316
2558805;10547512
2558859;10547384
2558912;10547942
2558965;10548925
2559018;10549362
2559071;10549212
2559124;10549751
2559178;10549909
2559231;10550067
2559284;10549202
2559337;10550288
2559391;10550391
2559445;10550283
2559497;10550077
2559551;10549392
2559604;10549759
2559657;10549111
2559710;10549212
2559764;10550017
2559817;10549894
2559870;10549565
2559924;10549442
2559977;10549422
2560030;10550077
2560083;10549581
2560136;10549643
2560190;10550062
2560243;10550569
2560297;10550180
2560349;10550595
2560403;10551265
2560456;10551031
2560510;10551420
2560562;10551006
2560615;10550928
2560669;10550718
2560722;10551071
2560776;10550974
2560828;10551262
2560882;10551420
2560935;10551102
2560988;10551139
2561042;10551353
2561095;10551139
2561148;10551614
2561201;10552060
2561255;10552156
2561308;10552351
2561361;10552013
2561415;10552507
2561468;10552331
2561521;10552449
2561574;10552397
2561628;10551696
2561681;10552638
2561734;10552374
2561787;10552364
2561840;10552665
2561894;10553082
2561947;10553286
2562001;10553378
2562053;10552868
2562107;10553486
2562160;10553446
2562214;10553815
2562266;10553855
2562320;10553564
2562373;10553835
2562426;10552856
2562479;10552643
2562533;10552638
2562586;10552387
2562639;10552284
2562693;10552259
2562746;10552768
2562799;10553265
2562852;10553654
2562906;10553604
2562959;10554051
2563012;10553968
2563065;10554653
2563119;10553983
2563172;10554352
2563225;10553835
2563278;10554658
2563331;10554397
2563385;10554520
2563438;10554593
2563492;10555178
2563544;10554520
2563598;10554741
2563651;10554859
2563705;10554766
2563758;10554573
2563810;10555735
2563864;10555449
2563917;10555155
2563971;10555853
2564024;10556237
2564077;10556079
2564130;10556581
2564183;10557158
2564237;10557010
2564290;10556581
2564343;10556950
2564397;10556621
2564450;10556114
2564503;10556202
2564556;10555710
2564609;10556202
2564663;10555926
2564716;10556443
2564770;10557532
2564822;10557334
2564876;10558122
2564929;10557296
2564982;10557743
2565036;10558358
2565089;10557815
2565142;10557256
2565195;10557178
2565249;10557522
2565302;10557532
2565355;10557685
2565408;10557153
2565461;10557984
2565515;10558117
2565568;10557708
2565621;10557931
2565675;10557093
2565727;10557580
2565781;10558245
2565834;10558398
2565887;10558102
2565941;10558310
2565994;10558358
2566048;10558305
2566100;10558315
2566154;10557979
2566207;10560170
2566260;10558614
2566313;10558649
2566367;10558285
2566420;10558182
2566473;10557133
2566527;10556631
2566580;10557316
2566633;10557793
2566687;10558275
2566740;10558172
2566793;10557692
2566846;10558049
2566900;10558087
2566953;10558541
2567006;10558019
2567059;10558466
2567112;10558471
2567165;10558571
2567219;10558014
2567272;10558578
2567325;10558423
2567379;10558418
2567432;10558305
2567485;10558192
2567539;10558962
2567591;10558573
2567645;10559063
2567698;10559633
2567752;10559229
2567805;10559909
2567858;10559540
2567911;10560627
2567964;10560288
2568018;10561069
2568071;10561219
2568124;10560948
2568177;10561448
2568231;10561633
2568284;10561684
2568337;10561797
2568391;10561141
2568443;10561021
2568497;10561152
2568550;10561126
2568604;10560542
2568657;10560293
2568710;10560411
2568763;10560724
2568816;10560936
2568870;10560903
2568923;10560682
2568976;10560795
2569029;10560439
2569083;10560750
2569136;10560921
2569189;10561382
2569243;10560933
2569296;10561224
2569348;10561415
2569402;10560790
2569455;10561482
2569509;10561593
2569562;10561438
2569615;10561500
2569668;10561448
2569722;10561207
2569775;10561598
2569828;10561330
2569881;10561357
2569935;10561392
2569988;10561761
2570041;10561982
2570094;10562038
2570148;10562196
2570201;10562918
2570254;10562991
2570308;10562376
2570360;10562775
2570414;10562893
2570467;10562846
2570520;10562038
2570574;10562580
2570627;10562565
2570680;10561849
2570733;10561761
2570787;10562647
2570840;10562012
2570893;10562356
2570946;10561925
2570999;10561884
2571053;10562351
2571106;10561711
2571160;10562145
2571213;10561763
2571266;10562140
2571319;10562514
2571372;10562585
2571426;10562853
2571479;10563943
2571532;10563420
2571585;10563104
2571639;10563712
2571692;10564123
2571745;10563498
2571798;10563456
2571851;10562949
2571905;10563702
2571958;10562929
2572011;10563646
2572065;10563922
2572118;10563375
2572171;10563358
2572224;10564818
2572278;10563333
2572331;10563436
2572384;10563584
2572438;10562688
2572491;10562934
2572543;10562366
2572597;10562627
2572650;10562657
End Calibration
I received: 
