=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2075813;10321826
2075840;10315323
2075865;10306126
2075892;10297170
2075918;10288008
2075944;10278604
2075971;10269225
2075997;10259964
2076023;10251319
2076049;10242999
2076075;10233811
2076102;10226436
2076128;10219111
2076154;10213458
2076180;10206261
2076206;10199722
2076233;10192992
2076259;10187818
2076285;10182806
2076311;10178143
2076337;10173254
2076364;10167018
2076390;10162840
2076416;10158632
2076443;10155413
2076468;10151449
2076495;10146667
2076521;10142602
2076547;10138272
2076574;10135719
2076600;10132642
2076626;10129613
2076652;10127198
2076678;10125551
2076705;10122853
2076731;10122179
2076757;10119448
2076783;10117267
2076809;10115390
2076836;10113129
2076862;10111431
2076888;10108543
2076914;10107383
2076940;10105652
2076967;10103997
2076993;10101891
2077019;10101200
2077045;10100517
2077071;10099271
2077098;10099319
2077123;10098648
2077150;10098437
2077177;10097962
2077202;10097916
2077229;10097080
2077255;10095941
2077281;10094945
2077308;10095402
2077333;10095416
2077360;10094955
2077386;10093600
2077412;10092890
2077439;10091315
2077465;10091003
2077491;10089429
2077517;10089793
2077544;10089776
2077569;10087579
2077596;10088499
2077622;10087791
2077648;10087049
2077675;10086507
2077700;10086436
2077727;10086276
2077753;10086782
2077779;10086475
2077806;10086267
2077832;10088030
2077858;10088803
2077884;10089968
2077910;10090225
2077937;10090078
2077963;10089820
2077989;10089557
2078015;10089542
2078042;10088636
2078067;10088163
2078094;10088854
2078120;10090484
2078146;10090510
2078172;10090808
2078199;10089603
2078225;10088646
2078251;10089537
2078277;10088680
2078304;10088926
2078330;10089480
2078356;10088977
2078382;10089201
2078409;10089115
2078435;10088960
2078461;10089707
2078487;10088192
2078513;10088791
2078540;10088477
2078565;10088347
2078592;10089201
2078619;10089299
2078644;10090320
2078671;10090216
2078696;10090610
2078723;10091641
2078750;10091257
2078775;10092742
2078802;10092269
2078828;10093259
2078854;10094894
2078881;10094358
2078906;10095355
2078933;10096293
2078959;10096928
2078985;10097283
2079011;10097331
2079038;10097587
2079064;10097280
2079090;10097776
2079117;10096534
2079143;10096688
2079168;10095851
2079195;10095672
